name	size	date	time	category
FMV0.STR	9027584	1997-09-11	10:58:52	fmv_stream
FMV1.STR	22806528	2000-10-30	19:47:44	fmv_stream
FMV2.STR	46399488	2000-10-30	19:51:52	fmv_stream
FMV3.STR	61997056	2000-10-30	20:43:22	fmv_stream
FMV4.STR	61145088	2000-10-30	20:48:32	fmv_stream
FMV5.STR	35045376	2000-10-30	20:07:34	fmv_stream
FMV6.STR	20840448	2000-10-30	20:09:34	fmv_stream
FMV7.STR	11943936	2000-10-30	20:11:00	fmv_stream
GAMEWAD.OBJ	55355392	2000-11-01	17:09:02	gamewad_container
SCRIPT.DAT	1612	2000-10-30	21:45:14	runtime_metadata
SLUS_013.11	608256	2000-11-01	17:09:40	boot_executable
SYSTEM.CNF	60	2000-10-24	10:50:18	runtime_metadata
US.DAT	5265	2000-10-30	21:45:14	runtime_metadata
XA1.XA	2146304	2000-10-30	07:37:50	xa_audio
XA10.XA	9732096	2000-10-30	07:49:46	xa_audio
XA11.XA	11075584	2000-10-30	07:50:54	xa_audio
XA12.XA	14450688	2000-10-30	07:51:50	xa_audio
XA13.XA	16318464	2000-10-30	07:53:20	xa_audio
XA14.XA	22429696	2000-10-30	07:55:58	xa_audio
XA15.XA	31064064	2000-10-30	07:56:58	xa_audio
XA16.XA	37175296	2000-10-30	07:58:00	xa_audio
XA17.XA	61767680	2000-10-30	07:59:04	xa_audio
XA2.XA	2473984	2000-10-30	09:00:58	xa_audio
XA3.XA	2752512	2000-10-30	07:39:44	xa_audio
XA4.XA	3391488	2000-10-30	07:40:40	xa_audio
XA5.XA	3702784	2000-10-30	07:41:52	xa_audio
XA6.XA	4603904	2000-10-30	07:43:06	xa_audio
XA7.XA	5849088	2000-10-30	07:45:38	xa_audio
XA8.XA	5931008	2000-10-30	07:46:40	xa_audio
XA9.XA	7471104	2000-10-30	07:47:30	xa_audio
