priority_rank,bucket,score,final_psx_address,beta_psx_address,repo_function,file,line,status,markers,mapping_status,ghidra_entry,ghidra_name,body_size,caller_count,callee_count,runtime_focus,nd,reason,next_step
1,P0,6420,0x80054f6c,0x80054b08,RestoreLevelData,GAME/SAVEGAME.C,82,decompiled,,mapped,0x80054f6c,FUN_80054f6c,4080,1,12,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 12 callee(s); body_size 4080; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
2,P0,6143,0x80053f10,0x80053aac,SaveLevelData,GAME/SAVEGAME.C,100,decompiled,,mapped,0x80053f10,FUN_80053f10,4188,1,1,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 4188; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
3,P0,4977,0x8006038c,0x8005f628,S_UpdateInput,SPEC_PSXPC_N/PSXINPUT.C,91,decompiled,,mapped,0x8006038c,FUN_8006038c,2452,5,5,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 5 caller(s); 5 callee(s); body_size 2452; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
4,P0,4797,0x8006038c,0x8005f628,S_UpdateInput,SPEC_PSX/PSXINPUT.C,89,decompiled,,mapped,0x8006038c,FUN_8006038c,2452,5,5,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 5 caller(s); 5 callee(s); body_size 2452; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
5,P0,4506,0x800105c4,0x80010604,DoTitle,GAME/GAMEFLOW.C,931,debugged,D;F;ND,mapped,0x800105c4,FUN_800105c4,1216,0,24,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 24 callee(s); body_size 1216,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
6,P0,3997,0x80010064,0x80010064,main,SPEC_PSXPC_N/PSXMAIN.C,42,debugged,D;F;ND,mapped,0x80010064,FUN_80010064,512,0,31,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 31 callee(s); body_size 512,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
7,P0,3817,0x80010064,0x80010064,main,SPEC_PSX/PSXMAIN.C,39,debugged,D;F;ND,mapped,0x80010064,FUN_80010064,512,0,31,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 31 callee(s); body_size 512,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
8,P0,3218,0x8005e264,0x8005dde8,InitNewCDSystem,SPEC_PSXPC_N/CD.C,354,debugged,D;F;ND,mapped,0x8005e264,FUN_8005e264,348,1,10,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 10 callee(s); body_size 348,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
9,P0,3038,0x8005e264,0x8005dde8,InitNewCDSystem,SPEC_PSX/CD.C,346,debugged,D;F;ND,mapped,0x8005e264,FUN_8005e264,348,1,10,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 10 callee(s); body_size 348,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
10,P0,2836,0x80010264,0x80010274,QuickControlPhase,GAME/GAMEFLOW.C,783,debugged,D;F;ND,mapped,0x80010264,FUN_80010264,76,2,2,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 2 caller(s); 2 callee(s); body_size 76,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
11,P0,2685,0x80063520,0x80062e3c,SaveGame,SPEC_PSXPC_N/LOADSAVE.C,335,decompiled,,mapped,0x80063520,FUN_80063520,640,1,5,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 5 callee(s); body_size 640; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
12,P0,2607,0x80060d20,0x800600e4,ReloadAnims,SPEC_PSXPC_N/ROOMLOAD.C,40,debugged,D;ND,mapped,0x80060d20,FUN_80060d20,52,1,1,yes,yes,marqué ND; chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 52,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
13,P0,2505,0x80063520,0x80062e3c,SaveGame,SPEC_PSX/LOADSAVE.C,335,decompiled,,mapped,0x80063520,FUN_80063520,640,1,5,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 5 callee(s); body_size 640; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
