entry,name,body_size,called_functions,callers
"0x80010064","FUN_80010064","512","FUN_80010fd8;FUN_8001169c;FUN_8005e240;FUN_8005e264;FUN_8005f1c8;FUN_8005f210;FUN_8005f4f8;FUN_8005ffb0;FUN_8006002c;FUN_800600a8;FUN_80062d34;FUN_80065c64;FUN_80066110;FUN_8006927c;FUN_8006a1fc;FUN_8006a42c;FUN_8006a4bc;FUN_8006ae84;FUN_8006af3c;FUN_8006af94;FUN_8006b0b8;FUN_8006b0e0;FUN_8006b144;FUN_8006b440;FUN_8006d32c;FUN_8006d998;FUN_8007381c;FUN_80073b9c;FUN_80073c68;FUN_800766fc;FUN_80094128",""
"0x80010264","FUN_80010264","76","FUN_8001d6cc;FUN_80065c64","FUN_800105c4;FUN_80010a84"
"0x800102b0","FUN_800102b0","712","FUN_8005e578;FUN_8005e5d8;FUN_8005f544;FUN_8005f6ac;FUN_80065f98","FUN_80010fd8"
"0x800105c4","FUN_800105c4","1216","FUN_80010264;FUN_8001d6cc;FUN_80025cb8;FUN_8002c6ec;FUN_80032d9c;FUN_80034f8c;FUN_800379b8;FUN_8003b9dc;FUN_8003bc04;FUN_80041d3c;FUN_8005dbc8;FUN_8005e08c;FUN_8005e14c;FUN_8005e7a0;FUN_8005f5c8;FUN_8005fdd0;FUN_80060d54;FUN_80062730;FUN_80062790;FUN_800645e0;FUN_8008fb90;FUN_80093d40;FUN_80093d80;FUN_800940f0",""
"0x80010a84","FUN_80010a84","1364","FUN_80010264;FUN_8001d6cc;FUN_80020f9c;FUN_80021040;FUN_80025cb8;FUN_8002c6ec;FUN_80035048;FUN_800379b8;FUN_8003b9dc;FUN_8003bc04;FUN_80055fec;FUN_8005dbc8;FUN_8005e08c;FUN_8005e14c;FUN_8005e7a0;FUN_8005f5c8;FUN_8005f6ac;FUN_8005fdd0;FUN_80060d54;FUN_800645e0;FUN_8008fb90;FUN_80093d80;FUN_800940f0",""
"0x80010fd8","FUN_80010fd8","480","FUN_800102b0;FUN_8005e7a0","FUN_80010064"
"0x8001169c","FUN_8001169c","376","","FUN_80010064"
"0x80011814","FUN_80011814","76","FUN_8007d254","FUN_8001286c;FUN_80012fe4;FUN_8001366c;FUN_80015d84;FUN_80015f90;FUN_80016f30;FUN_800172d4;FUN_80017fc8;FUN_80018578;FUN_80018cbc;FUN_80018e40;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001baf8;FUN_8001bc10;FUN_8001bcbc;FUN_8001bda8;FUN_8001be64;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c2e8;FUN_8001c3e4;FUN_8001c4b8;FUN_8001c5d4;FUN_8001c68c;FUN_8001c750;FUN_8001c940;FUN_8001c994"
"0x80011860","FUN_80011860","236","FUN_8007a998;FUN_8007acb8","FUN_80012fe4;FUN_8001366c;FUN_800137e8;FUN_80013cd4;FUN_80014a78;FUN_80014c74;FUN_80017fc8;FUN_8001a490"
"0x8001194c","FUN_8001194c","252","FUN_8007a998;FUN_8007b0a4","FUN_80012d04;FUN_80012fe4;FUN_80014a78;FUN_80014c74;FUN_80017fc8"
"0x80011a48","FUN_80011a48","468","FUN_8007df30","FUN_8001286c;FUN_800145e4;FUN_800148cc;FUN_80014c74;FUN_80015370;FUN_80015530;FUN_80015748;FUN_80015d84;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001baf8;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4;FUN_8001c4b8"
"0x80011c1c","FUN_80011c1c","108","","FUN_800145e4;FUN_800148cc;FUN_80014c74;FUN_80015370;FUN_80015748;FUN_80015d84;FUN_80015f90;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001be64;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4"
"0x80011c88","FUN_80011c88","188","FUN_8006101c","FUN_80015f90;FUN_80018670;FUN_80018cbc;FUN_80018e40;FUN_8001bcbc;FUN_8001c2e8;FUN_8001c994"
"0x80011d44","FUN_80011d44","132","","FUN_8001286c;FUN_80015d84;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4;FUN_8001c4b8;FUN_8001c750"
"0x80011dc8","FUN_80011dc8","168","FUN_8007df30","FUN_8001286c;FUN_80015d84;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c750"
"0x80011e70","FUN_80011e70","160","FUN_8007df30","FUN_80015370;FUN_80015748"
"0x80011f10","FUN_80011f10","280","FUN_8008793c","FUN_800158a4;FUN_80018670;FUN_80018e40"
"0x80012028","FUN_80012028","328","FUN_8004675c","FUN_80012170;FUN_80012fe4;FUN_80019bfc"
"0x80012170","FUN_80012170","1168","FUN_80012028;FUN_80079a20;FUN_8007df30;FUN_8007f580","FUN_80015d84;FUN_80017fc8;FUN_8001b51c;FUN_8001b780;FUN_8001c750"
"0x80012600","FUN_80012600","416","FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_80015d84;FUN_8001b780"
"0x800127a0","FUN_800127a0","204","FUN_8007f580","FUN_80015d84;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c750"
