function,file,line,status,markers,bucket,score,caller_count,callee_count,role,readiness
GetCollisionInfo,SPEC_PSXPC_N/COLLIDE_S.C,475,decompiled,none,P1,5423,19,7,pivot,pivot-proof-needed
PickUpCollision,GAME/PICKUP.C,235,decompiled,none,P1,3480,0,8,related-spatial-query,candidate-proof-needed
PuzzleHoleCollision,GAME/PICKUP.C,217,decompiled,none,P1,3335,0,13,related-spatial-query,candidate-proof-needed
LaraSwimCollision,GAME/LARASWIM.C,753,decompiled,none,P1,3290,6,6,lara-collision-context,candidate-proof-needed
LaraBaddieCollision,GAME/COLLIDE.C,385,decompiled,none,P1,2502,3,2,lara-collision-context,candidate-proof-needed
DoorCollision,GAME/DOOR.C,147,decompiled,none,P1,2452,1,8,related-spatial-query,candidate-proof-needed
SwitchCollision,GAME/SWITCH.C,346,decompiled,none,P1,2414,0,6,related-spatial-query,candidate-proof-needed
UpdateLaraRoom,SPEC_PSXPC_N/COLLIDE_S.C,53,decompiled,none,P1,2359,9,3,lara-collision-context,candidate-proof-needed
CrowbarSwitchCollision,GAME/SWITCH.C,185,decompiled,none,P1,2314,0,6,related-spatial-query,candidate-proof-needed
ItemPushLaraStatic,GAME/COLLIDE.C,104,decompiled,none,P1,2233,2,3,lara-collision-context,candidate-proof-needed
CogSwitchCollision,GAME/SWITCH.C,161,decompiled,none,P1,2110,0,6,related-spatial-query,candidate-proof-needed
FireCollision,GAME/FLMTORCH.C,59,decompiled,none,P1,2108,0,4,related-spatial-query,candidate-proof-needed
KeyHoleCollision,GAME/PICKUP.C,230,decompiled,none,P1,2107,0,5,related-spatial-query,candidate-proof-needed
SearchObjectCollision,GAME/PICKUP.C,170,decompiled,none,P1,2106,0,6,related-spatial-query,candidate-proof-needed
CeilingTrapDoorCollision,GAME/TRAPS.C,220,decompiled,none,P1,1956,0,4,related-spatial-query,candidate-proof-needed
PushPullKickDoorCollision,GAME/DOOR.C,122,decompiled,none,P1,1932,0,4,related-spatial-query,candidate-proof-needed
RailSwitchCollision,GAME/SWITCH.C,197,decompiled,none,P1,1927,0,5,related-spatial-query,candidate-proof-needed
FloorTrapDoorCollision,GAME/TRAPS.C,214,decompiled,none,P1,1924,0,4,related-spatial-query,candidate-proof-needed
GenericSphereBoxCollision,GAME/COLLIDE.C,99,decompiled,none,P1,1898,0,6,collision-support,candidate-proof-needed
CreatureCollision,GAME/COLLIDE.C,380,decompiled,none,P1,1851,0,5,collision-support,candidate-proof-needed
UnderwaterSwitchCollision,GAME/SWITCH.C,334,decompiled,none,P1,1825,0,3,related-spatial-query,candidate-proof-needed
FullBlockSwitchCollision,GAME/SWITCH.C,173,decompiled,none,P1,1819,0,5,related-spatial-query,candidate-proof-needed
CrowDoveSwitchCollision,GAME/SWITCH.C,127,decompiled,none,P2,1776,0,4,related-spatial-query,candidate-proof-needed
UnderwaterDoorCollision,GAME/DOOR.C,112,decompiled,none,P2,1771,0,5,related-spatial-query,candidate-proof-needed
PulleyCollision,GAME/SWITCH.C,328,decompiled,none,P2,1756,0,4,related-spatial-query,candidate-proof-needed
DoubleDoorCollision,GAME/DOOR.C,117,decompiled,none,P2,1689,0,3,related-spatial-query,candidate-proof-needed
TestBoundsCollideStatic,GAME/COLLIDE.C,341,decompiled,none,P2,1663,1,1,collision-support,candidate-proof-needed
SwitchCollision2,GAME/SWITCH.C,340,decompiled,none,P2,1639,0,5,related-spatial-query,candidate-proof-needed
JumpSwitchCollision,GAME/SWITCH.C,191,decompiled,none,P2,1537,0,3,related-spatial-query,candidate-proof-needed
FallingBlockCollision,GAME/TRAPS.C,232,decompiled,none,P2,1390,0,2,related-spatial-query,candidate-proof-needed
TrapDoorCollision,GAME/TRAPS.C,226,decompiled,none,P2,1267,0,1,related-spatial-query,candidate-proof-needed
