caller,callee,caller_file,callee_file,line,shape_id,arg1_kind,arg2_kind,state_fields,side_effects,proof_status,patch_ready,blocker
LaraDoClimbLeftRight,LaraClimbLeftCornerTest,GAME/LARACLMB.C,GAME/LARACLMB.C,606,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraClimbRightCornerTest,LaraClimbLeftCornerTest,GAME/LARACLMB.C,GAME/LARACLMB.C,866,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraDoClimbLeftRight,LaraClimbRightCornerTest,GAME/LARACLMB.C,GAME/LARACLMB.C,632,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;collision-info;lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraDoClimbLeftRight,LaraClimbRightCornerTest,GAME/LARACLMB.C,GAME/LARACLMB.C,663,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;collision-info;lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_hang,LaraHangLeftCornerTest,GAME/LARA.C,GAME/LARA.C,2058,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_hang,LaraHangLeftCornerTest,GAME/LARA.C,GAME/LARA.C,2079,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
TestHangSwingIn,LaraHangLeftCornerTest,GAME/LARA.C,GAME/LARA.C,5266,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraHangLeftCornerTest,LaraHangRightCornerTest,GAME/LARA.C,GAME/LARA.C,5272,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraTestClimbPos,LaraTestClimb,GAME/LARACLMB.C,GAME/LARACLMB.C,550,shape-movement-predicate,item-pointer,collision-info-pointer,lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraClimbLeftCornerTest,LaraTestClimb,GAME/LARACLMB.C,GAME/LARACLMB.C,872,shape-movement-predicate,item-pointer,collision-info-pointer,lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_hang,LaraTestClimbStance,GAME/LARA.C,GAME/LARA.C,2159,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;collision-info,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_hang,LaraTestClimbStance,GAME/LARA.C,GAME/LARA.C,2180,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;collision-info,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraHangTest,LaraTestClimbStance,GAME/LARA.C,GAME/LARA.C,5451,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;collision-info,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
TestLaraVault,LaraTestClimbStance,GAME/LARA.C,GAME/LARA.C,6314,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;collision-info,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_surfswim,LaraTestWaterClimbOut,GAME/LARASURF.C,GAME/LARASURF.C,55,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraSurfaceCollision,LaraTestWaterClimbOut,GAME/LARASURF.C,GAME/LARASURF.C,329,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,corner-probe;orientation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_roll2,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,803,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_roll,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,844,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_stepright,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,946,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_back,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,992,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
