caller,callee,caller_file,callee_file,line,shape_id,arg_count,argument_kinds,state_fields,side_effects,proof_status,patch_ready,blocker
InitialiseSlot,CreateZone,GAME/LOT.C,GAME/LOT.C,214,shape-gameplay-mixed-item-pointer,1,item-pointer,zone-state;creature-state;box-state,zone-state;creature-state;room-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,CreateZone,GAME/OBJECTS.H,GAME/LOT.C,0,shape-gameplay-mixed-item-pointer,1,gameplay-mixed-dispatch,zone-state;creature-state;box-state,zone-state;creature-state;room-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,EscapeBox,GAME/OBJECTS.H,GAME/BOX.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,box-state,ai-pathing-state;box-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,InitBinoculars,GAME/OBJECTS.H,GAME/SETUP.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,gameplay-mixed-state,setup-table-state;level-load-state;gameplay-global-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
SetupGame,InitBinoculars,GAME/SETUP.C,GAME/SETUP.C,4638,shape-gameplay-mixed-void-setup,0,void-or-dispatch,gameplay-mixed-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
init_cutseq_actors,InitPackNodes,GAME/DELTAPAK.C,GAME/DELTAPAK.C,3156,shape-gameplay-mixed-1-arg,1,symbolic-gameplay-argument,pack-node-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
init_cutseq_actors,InitPackNodes,GAME/DELTAPAK.C,GAME/DELTAPAK.C,3164,shape-gameplay-mixed-1-arg,1,symbolic-gameplay-argument,pack-node-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
init_cutseq_actors,InitPackNodes,GAME/DELTAPAK.C,GAME/DELTAPAK.C,3191,shape-gameplay-mixed-1-arg,1,symbolic-gameplay-argument,pack-node-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,InitPackNodes,GAME/OBJECTS.H,GAME/DELTAPAK.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,pack-node-state,setup-table-state;level-load-state;gameplay-global-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,InitTarget,GAME/OBJECTS.H,GAME/SETUP.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,target-state,setup-table-state;level-load-state;gameplay-global-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
SetupGame,InitTarget,GAME/SETUP.C,GAME/SETUP.C,4640,shape-gameplay-mixed-void-setup,0,void-or-dispatch,target-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,InitialiseFootPrints,GAME/OBJECTS.H,GAME/SETUP.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,gameplay-mixed-state,setup-table-state;level-load-state;gameplay-global-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
SetupGame,InitialiseFootPrints,GAME/SETUP.C,GAME/SETUP.C,4637,shape-gameplay-mixed-void-setup,0,void-or-dispatch,gameplay-mixed-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
gameplay-mixed-dispatch-table,InitialiseSqrtTable,GAME/OBJECTS.H,GAME/SETUP.C,0,shape-gameplay-mixed-1-arg,1,gameplay-mixed-dispatch,sqrt-table-state,setup-table-state;level-load-state;gameplay-global-state,symbolic-dispatch-metadata-only,no,missing-gameplay-mixed-state-contract-and-symbolic-equivalence-proof
SetupGame,InitialiseSqrtTable,GAME/SETUP.C,GAME/SETUP.C,4630,shape-gameplay-mixed-void-setup,0,void-or-dispatch,sqrt-table-state,setup-table-state;level-load-state;gameplay-global-state,source-callsite-mapped-only,no,missing-symbolic-equivalence-proof
