caller,callee,caller_file,callee_file,line,source_line_text,relationship,state_surface,proof_status,patch_ready,blocker
LoadGameflow,game_malloc,GAME/GAMEFLOW.C,SPEC_PSXPC_N/MALLOC.C,556,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseFXArray,game_malloc,GAME/ITEMS.C,SPEC_PSXPC_N/MALLOC.C,142,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseLOTarray,game_malloc,GAME/LOT.C,SPEC_PSXPC_N/MALLOC.C,319,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseLOTarray,game_malloc,GAME/LOT.C,SPEC_PSXPC_N/MALLOC.C,327,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseObjects,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,966,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseObjects,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,971,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseObjects,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,976,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1063,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1075,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1097,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
