rank,domain_id,subcluster,function,file,line,status,mapped,runtime_focus,nd,caller_count,callee_count,readiness,source_patch_ready,marker_ready,blocker
1,traps-switches-doors,trap-hazard-control,ControlRollingBall,GAME/TRAPS.C,476,decompiled,yes,no,no,0,8,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
2,traps-switches-doors,trap-hazard-control,ControlExplosion,GAME/TRAPS.C,654,decompiled,yes,no,no,0,17,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
3,traps-switches-doors,trap-hazard-control,FlameEmitter3Control,GAME/TRAPS.C,377,decompiled,yes,no,no,0,9,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
4,traps-switches-doors,trap-hazard-control,ControlScaledSpike,GAME/TRAPS.C,642,decompiled,yes,no,no,0,8,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
5,traps-switches-doors,trap-hazard-control,FlameEmitterControl,GAME/TRAPS.C,317,decompiled,yes,no,no,0,8,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
6,traps-switches-doors,door-control,DoorControl,GAME/DOOR.C,231,decompiled,yes,no,no,0,6,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
7,traps-switches-doors,switch-control,TurnSwitchControl,GAME/SWITCH.C,322,decompiled,yes,no,no,0,3,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
8,traps-switches-doors,trap-hazard-control,ControlRaisingBlock,GAME/TRAPS.C,648,decompiled,yes,no,no,0,3,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
9,traps-switches-doors,trap-hazard-control,DrawScaledSpike,GAME/TRAPS.C,511,decompiled,yes,no,no,0,11,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
10,traps-switches-doors,door-control,OpenThatDoor,GAME/DOOR.C,236,decompiled,yes,no,no,3,1,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
11,traps-switches-doors,trap-hazard-control,DartsControl,GAME/TRAPS.C,311,decompiled,yes,no,no,0,7,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
12,traps-switches-doors,switch-control,SwitchControl,GAME/SWITCH.C,352,decompiled,yes,no,no,0,7,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
13,traps-switches-doors,trap-hazard-control,DartEmitterControl,GAME/TRAPS.C,305,decompiled,yes,no,no,0,6,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
14,traps-switches-doors,trap-hazard-control,ControlTwoBlockPlatform,GAME/TRAPS.C,556,decompiled,yes,no,no,0,6,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
15,traps-switches-doors,door-control,ProcessClosedDoors,GAME/DOOR.C,43,decompiled,yes,no,no,1,1,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
16,traps-switches-doors,trap-hazard-control,FallingCeiling,GAME/TRAPS.C,297,decompiled,yes,no,no,0,5,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
17,traps-switches-doors,door-control,ShutThatDoor,GAME/DOOR.C,241,decompiled,yes,no,no,2,0,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
18,traps-switches-doors,switch-control,CogSwitchControl,GAME/SWITCH.C,167,decompiled,yes,no,no,0,3,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
19,traps-switches-doors,switch-control,SwitchTrigger,GAME/SWITCH.C,457,decompiled,yes,no,no,0,1,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
20,traps-switches-doors,switch-control,FullBlockSwitchControl,GAME/SWITCH.C,179,decompiled,yes,no,no,0,1,blocked,no,no,missing-traps-switches-doors-source-contract-and-non-raw-equivalence-proof
