rank,domain_id,subcluster,function,file,line,status,mapped,runtime_focus,nd,caller_count,callee_count,readiness,source_patch_ready,marker_ready,blocker
1,module-spec_psxpc,text-debug-rendering,PrintString,SPEC_PSXPC/FXTRIG.C,7,decompiled,yes,no,no,19,3,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
2,module-spec_psxpc,render-geometry-support,GetBoundsAccurate,SPEC_PSXPC/CALCLARA.C,20,decompiled,yes,no,no,19,1,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
3,module-spec_psxpc,frontend-flow,S_PlayFMV,SPEC_PSXPC/MOVIE.C,5,decompiled,yes,no,no,3,24,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
4,module-spec_psxpc,frontend-flow,DisplayConfig,SPEC_PSXPC/SPECIFIC.C,119,decompiled,yes,no,no,1,4,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
5,module-spec_psxpc,frontend-flow,SaveGame,SPEC_PSXPC/LOADSAVE.C,319,decompiled,yes,yes,no,1,5,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
6,module-spec_psxpc,frontend-flow,main,SPEC_PSXPC/PSXPCMAIN.C,39,decompiled,yes,no,no,0,31,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
7,module-spec_psxpc,frontend-flow,S_Death,SPEC_PSXPC/SPECIFIC.C,582,decompiled,yes,no,no,1,14,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
8,module-spec_psxpc,platform-services,CDDA_SetVolume,SPEC_PSXPC/CD.C,65,decompiled,yes,yes,no,1,1,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
9,module-spec_psxpc,frontend-flow,DisplayFiles,SPEC_PSXPC/LOADSAVE.C,35,decompiled,yes,no,no,0,7,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
10,module-spec_psxpc,platform-services,XAReplay,SPEC_PSXPC/CD.C,70,decompiled,yes,yes,no,0,2,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
