rank,domain_id,subcluster,function,file,line,status,mapped,runtime_focus,nd,caller_count,callee_count,readiness,source_patch_ready,marker_ready,blocker
1,animation-items,runtime-reload,ReloadAnims,SPEC_PSXPC_N/ROOMLOAD.C,40,debugged,mapped,yes,yes,1,1,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
2,animation-items,runtime-reload,ReloadAnims,SPEC_PSXPC/ROOMLOAD.C,29,decompiled,mapped,yes,no,1,1,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
3,animation-items,animitem-core,CalcAnimatingItem_ASM,SPEC_PSXPC_N/ANIMITEM.C,1847,decompiled,mapped,no,no,1,23,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
4,animation-items,animitem-core,CalcAllAnimatingItems_ASM,SPEC_PSXPC_N/ANIMITEM.C,2089,decompiled,mapped,no,no,1,9,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
5,animation-items,texture-object-animation,AnimateWaterfalls,GAME/OBJECTS.C,189,decompiled,mapped,no,no,1,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
6,animation-items,texture-object-animation,InitialiseAnimatedTextures,GAME/SETUP.C,172,decompiled,repo_only,yes,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
7,animation-items,matrix-transform,GetBounds_AI,SPEC_PSXPC_N/ANIMITEM.C,17,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
8,animation-items,matrix-transform,mLoadMatrix_AI,SPEC_PSXPC_N/ANIMITEM.C,104,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
9,animation-items,matrix-transform,mmPopMatrix_AI,SPEC_PSXPC_N/ANIMITEM.C,139,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
10,animation-items,matrix-transform,mRotY_AI,SPEC_PSXPC_N/ANIMITEM.C,166,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
11,animation-items,matrix-transform,mRotX_AI,SPEC_PSXPC_N/ANIMITEM.C,231,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
12,animation-items,matrix-transform,mRotZ_AI,SPEC_PSXPC_N/ANIMITEM.C,298,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
13,animation-items,matrix-transform,GetFrames_AI,SPEC_PSXPC_N/ANIMITEM.C,368,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
14,animation-items,matrix-transform,mTranslateXYZ_AI,SPEC_PSXPC_N/ANIMITEM.C,404,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
15,animation-items,matrix-transform,mRotYXZ_AI,SPEC_PSXPC_N/ANIMITEM.C,535,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
16,animation-items,matrix-transform,calc_animating_item_clip_window,SPEC_PSXPC_N/ANIMITEM.C,542,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
17,animation-items,matrix-transform,mClipBoundingBox_AI,SPEC_PSXPC_N/ANIMITEM.C,866,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
18,animation-items,matrix-transform,InitInterpolation_AI,SPEC_PSXPC_N/ANIMITEM.C,988,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
