story_file,line_number,normalized_class,line_fingerprint
docs/stories/RE-015-saveleveldata-active-item-serialization.md,93,generic-blocker-reference,6f7b5e6831938cc9
docs/stories/RE-016-saveleveldata-item-control-flow-proof.md,83,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-017-saveleveldata-item-field-width-reconciliation.md,84,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-018-saveleveldata-restore-side-field-proof.md,88,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-019-restoreleveldata-read-call-map.md,86,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-020-restoreleveldata-field-control-flow-proof.md,89,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-021-restoreleveldata-branch-predicate-map.md,90,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-022-restoreleveldata-field-predicate-reconciliation.md,90,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-023-restoreleveldata-implementation-plan.md,57,generic-blocker-reference,83c75ee4193992f7
docs/stories/RE-023-restoreleveldata-implementation-plan.md,95,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-024-restoreleveldata-room-split-predicate-proof.md,95,generic-blocker-reference,485ba7dfef2142aa
docs/stories/RE-025-restoreleveldata-group5-payload-predicate-proof.md,57,generic-blocker-reference,70c8027cc25b6a40
docs/stories/RE-026-restoreleveldata-group8-layout-fanout-proof.md,57,generic-blocker-reference,a7acb26330878c0c
docs/stories/RE-026-restoreleveldata-group8-layout-fanout-proof.md,68,generic-blocker-reference,2125aa1cfbad1d32
docs/stories/RE-027-restoreleveldata-readiness-refresh.md,57,blocked-readiness-status,69114bc086cd4768
docs/stories/RE-028-restoreleveldata-group5-source-field-identity-checklist.md,59,generic-blocker-reference,fb9cab077948ab64
docs/stories/RE-029-restoreleveldata-group5-item-flags-body-proof.md,60,generic-blocker-reference,085f12af11069383
docs/stories/RE-030-restoreleveldata-group5-restore-assignment-identity-map.md,62,generic-blocker-reference,5511811946cab995
docs/stories/RE-031-limited-restoreleveldata-reconstruction-scope.md,31,generic-blocker-reference,8e142b91c97262b3
docs/stories/RE-031-limited-restoreleveldata-reconstruction-scope.md,32,generic-blocker-reference,131f146a09f91a0e
docs/stories/RE-031-limited-restoreleveldata-reconstruction-scope.md,33,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-032-group10-room-byte-order-layout-predicate.md,28,generic-blocker-reference,b16d35e94fa4f333
docs/stories/RE-032-group10-room-byte-order-layout-predicate.md,30,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-033-group4-active-item-split-restore-predicates.md,29,generic-blocker-reference,c49d4121b298ee94
docs/stories/RE-033-group4-active-item-split-restore-predicates.md,31,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-034-non-raw-restore-assignment-identity-method.md,32,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-035-group5-safe-assignment-identity-retry.md,34,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-036-group8-subtype-layout-fanout-readiness.md,7,generic-blocker-reference,fde41fd8d5d8e711
docs/stories/RE-036-group8-subtype-layout-fanout-readiness.md,35,generic-blocker-reference,a06d6310cbccc7a8
docs/stories/RE-036-group8-subtype-layout-fanout-readiness.md,37,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-037-partial-patch-readiness-matrix.md,31,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-038-source-patch-gate.md,25,generic-blocker-reference,d9c9245d87c6ea4b
docs/stories/RE-038-source-patch-gate.md,31,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-039-group10-terminal-blocker.md,28,generic-blocker-reference,d2eca80f749ff1bc
docs/stories/RE-039-group10-terminal-blocker.md,30,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-040-group4-terminal-blocker.md,29,generic-blocker-reference,d2eca80f749ff1bc
docs/stories/RE-040-group4-terminal-blocker.md,31,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-041-group5-terminal-blocker.md,34,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-042-group8-terminal-blocker.md,35,generic-blocker-reference,e018faf6e2fcbea3
docs/stories/RE-042-group8-terminal-blocker.md,37,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-043-restoreleveldata-final-stop-report.md,31,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-044-post-restoreleveldata-domain-reprioritization.md,31,domain-selection-still-blocked,569029cef8f3f1e7
docs/stories/RE-044-post-restoreleveldata-domain-reprioritization.md,33,source-or-code-readiness-blocked,d20c58bd39a11638
docs/stories/RE-044-post-restoreleveldata-domain-reprioritization.md,38,domain-selection-still-blocked,5540aa9d01c1b324
docs/stories/RE-045-audio-effects-domain-scope.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-046-soundeffect-caller-map.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-047-soundeffect-argument-taxonomy.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-048-soundeffect-comparison-gate.md,33,generic-blocker-reference,acaa58ec8c579eec
docs/stories/RE-048-soundeffect-comparison-gate.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-049-audio-effects-cluster-proof.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
docs/stories/RE-050-audio-effects-marker-source-patch-gate.md,35,source-or-code-readiness-blocked,8027b5a254d30cef
