markdown_file,line_number,normalized_class,line_fingerprint
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,1,domain-selection-still-blocked,f039deef5d5ae64a
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,13,domain-selection-still-blocked,3d1198ee61cf5ed0
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,16,domain-selection-still-blocked,33d636a152dd192f
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,30,domain-selection-still-blocked,f33002447156b13b
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,31,domain-selection-still-blocked,2c963c67fe0776e4
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,40,domain-selection-still-blocked,01270d801c5d94de
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,48,domain-selection-still-blocked,214e2fada8a961cb
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,49,domain-selection-still-blocked,4ab4c05942b2e8a3
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,57,domain-selection-still-blocked,db586bed52ceca75
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,58,domain-selection-still-blocked,3f5dffa3ebac8c90
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,66,domain-selection-still-blocked,706bbe7b728c8532
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,67,domain-selection-still-blocked,ab1e107f23b4d121
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,75,domain-selection-still-blocked,acf0994051faa722
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,76,domain-selection-still-blocked,81d1968cd8e4a416
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,85,domain-selection-still-blocked,97778f97dc359b6f
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,93,domain-selection-still-blocked,bceb5edbfd119953
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,94,domain-selection-still-blocked,1e9d3eb5528f7954
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,102,domain-selection-still-blocked,d04f30f36e2164cc
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,103,domain-selection-still-blocked,0535ffce80101792
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,112,domain-selection-still-blocked,64f98995ea09137f
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,120,domain-selection-still-blocked,629ea4fe73fe5ce6
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,121,domain-selection-still-blocked,b6ac0955e43a836d
docs/reverse/functions/re044-post-restoreleveldata-reprioritization.md,129,domain-selection-still-blocked,1d0d86b327f57177
docs/reverse/functions/re045-re052-audio-effects-chain.md,3,domain-selection-still-blocked,e2b58ba489cb1ee5
docs/reverse/functions/re045-re052-audio-effects-chain.md,6,domain-selection-still-blocked,61202e6ba1a9227d
docs/reverse/functions/re045-re052-audio-effects-chain.md,14,domain-selection-still-blocked,f12c7e065a918ab2
docs/reverse/functions/re045-re052-audio-effects-chain.md,21,domain-selection-still-blocked,cb82454873ac13b8
docs/reverse/functions/re045-re052-audio-effects-chain.md,35,domain-selection-still-blocked,d6f193fde32307b1
docs/reverse/functions/re045-re052-audio-effects-chain.md,63,domain-selection-still-blocked,ac73b5e19451dda5
docs/reverse/functions/re045-re052-audio-effects-chain.md,64,domain-selection-still-blocked,933db5ba2d54df5c
docs/reverse/functions/re053-re060-collision-chain.md,3,domain-selection-still-blocked,9468d791f928b3cf
docs/reverse/functions/re053-re060-collision-chain.md,6,domain-selection-still-blocked,3a2ff27db88b0858
docs/reverse/functions/re053-re060-collision-chain.md,14,domain-selection-still-blocked,970766cada7ec659
docs/reverse/functions/re053-re060-collision-chain.md,21,domain-selection-still-blocked,0d294502f8a3b950
docs/reverse/functions/re053-re060-collision-chain.md,35,domain-selection-still-blocked,6bec4f27ed9cf28b
docs/reverse/functions/re053-re060-collision-chain.md,63,domain-selection-still-blocked,907c0f286282532a
docs/reverse/functions/re053-re060-collision-chain.md,64,domain-selection-still-blocked,ead0dc4fef531479
docs/reverse/functions/re061-module-game-proof-first-audit.md,3,domain-selection-still-blocked,38069df3149b324e
docs/reverse/functions/re061-module-game-proof-first-audit.md,6,domain-selection-still-blocked,bb4475755c1cc664
docs/reverse/functions/re061-module-game-proof-first-audit.md,117,domain-selection-still-blocked,f6da3140dfab536c
docs/reverse/functions/re062-re068-module-game-chain.md,3,domain-selection-still-blocked,34981b6eef9cf4b2
docs/reverse/functions/re069-lara-movement-proof-first-audit.md,3,domain-selection-still-blocked,12f6a6a636842371
docs/reverse/functions/re070-re076-lara-movement-chain.md,3,domain-selection-still-blocked,39a8c336908ad010
docs/reverse/functions/re077-gameflow-runtime-proof-first-audit.md,3,domain-selection-still-blocked,21a4e436c02cb50f
docs/reverse/functions/re078-re084-gameflow-runtime-chain.md,3,domain-selection-still-blocked,f2581bdb673ab5a2
docs/reverse/functions/re078-re084-gameflow-runtime-chain.md,44,domain-selection-still-blocked,4736094590feada1
docs/reverse/functions/re085-object-runtime-control-proof-first-audit.md,3,domain-selection-still-blocked,67d334666e869a53
