source_patch_gate_file,row_number,normalized_class,denial_fingerprint
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,2,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,3,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,4,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,5,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,6,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,7,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,8,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,9,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re168-ui-text-rendering-source-patch-gate.csv,10,symbolic-equivalence-proof-missing,471167029f391a5b
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,4,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,5,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,6,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,7,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re176-geometry-support-source-patch-gate.csv,8,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re183-frontend-sequence-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re183-frontend-sequence-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re190-frontend-loadsave-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re190-frontend-loadsave-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re190-frontend-loadsave-source-patch-gate.csv,4,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re197-platform-gpu-display-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re197-platform-gpu-display-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re197-platform-gpu-display-source-patch-gate.csv,4,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re197-platform-gpu-display-source-patch-gate.csv,5,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re204-platform-memory-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re204-platform-memory-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re204-platform-memory-source-patch-gate.csv,4,non-raw-equivalence-proof-missing,0c49f4591d80ff45
docs/reverse/generated/re211-platform-main-lifecycle-source-patch-gate.csv,2,non-raw-equivalence-proof-missing,9f89397ef25f35f0
docs/reverse/generated/re211-platform-main-lifecycle-source-patch-gate.csv,3,non-raw-equivalence-proof-missing,9f89397ef25f35f0
docs/reverse/generated/re211-platform-main-lifecycle-source-patch-gate.csv,4,non-raw-equivalence-proof-missing,9f89397ef25f35f0
docs/reverse/generated/re220-maths-render-support-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,445d48855a347463
docs/reverse/generated/re220-maths-render-support-source-patch-gates.csv,3,upstream-gate-zero-ready,eea90a4c130fb38c
docs/reverse/generated/re220-maths-render-support-source-patch-gates.csv,4,upstream-gate-zero-ready,b613172a60f6adaf
docs/reverse/generated/re227-traps-switches-doors-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,74a03b90d0739e47
