rank,candidate_id,context_kind,source_symbol,source_module,source_file,geometry_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,5e99f39fd8ef,caller,DoorCollision,GAME,GAME/DOOR.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
2,5e99f39fd8ef,caller,DoubleDoorCollision,GAME,GAME/DOOR.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
3,5e99f39fd8ef,caller,PushPullKickDoorCollision,GAME,GAME/DOOR.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
4,5e99f39fd8ef,caller,UnderwaterDoorCollision,GAME,GAME/DOOR.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
5,5e99f39fd8ef,caller,KeyHoleCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
6,5e99f39fd8ef,caller,MonitorScreenCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
7,5e99f39fd8ef,caller,PickUpCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
8,5e99f39fd8ef,caller,PuzzleHoleCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
9,5e99f39fd8ef,caller,SearchObjectCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
10,5e99f39fd8ef,caller,CogSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
11,5e99f39fd8ef,caller,CrowDoveSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
12,5e99f39fd8ef,caller,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
13,5e99f39fd8ef,caller,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
14,5e99f39fd8ef,caller,PulleyCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
15,5e99f39fd8ef,caller,RailSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
16,5e99f39fd8ef,caller,SwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
17,5e99f39fd8ef,caller,SwitchCollision2,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
18,5e99f39fd8ef,caller,TurnSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
19,5e99f39fd8ef,caller,UnderwaterSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
20,5e99f39fd8ef,caller,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
21,5e99f39fd8ef,callee,GetFloor,GAME,GAME/CONTROL.C,geometry-callee,floor-height,no,no,no,mapped-context-not-direct-candidate-proof
22,5e99f39fd8ef,callee,GetHeight,GAME,GAME/CONTROL.C,geometry-callee,floor-height,no,no,no,mapped-context-not-direct-candidate-proof
23,5e99f39fd8ef,callee,mPopMatrix,SPEC_PSXPC,SPEC_PSXPC/MATHS.C,geometry-callee,matrix,no,no,no,mapped-context-not-direct-candidate-proof
24,5e99f39fd8ef,callee,mPushUnitMatrix,SPEC_PSXPC,SPEC_PSXPC/MATHS.C,geometry-callee,matrix,no,no,no,mapped-context-not-direct-candidate-proof
25,5e99f39fd8ef,callee,GetHeight,SPEC_PSXPC_N,SPEC_PSXPC_N/GETSTUFF.C,geometry-callee,floor-height,no,no,no,mapped-context-not-direct-candidate-proof
26,5e99f39fd8ef,callee,mPopMatrix,SPEC_PSXPC_N,SPEC_PSXPC_N/MATHS.C,geometry-callee,matrix,no,no,no,mapped-context-not-direct-candidate-proof
27,5e99f39fd8ef,callee,mPushUnitMatrix,SPEC_PSXPC_N,SPEC_PSXPC_N/MATHS.C,geometry-callee,matrix,no,no,no,mapped-context-not-direct-candidate-proof
