rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,147,229,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,5e99f39fd8ef,DoubleDoorCollision,GAME,GAME/DOOR.C,117,120,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
3,5e99f39fd8ef,PushPullKickDoorCollision,GAME,GAME/DOOR.C,122,125,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
4,5e99f39fd8ef,UnderwaterDoorCollision,GAME,GAME/DOOR.C,112,115,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
5,5e99f39fd8ef,KeyHoleCollision,GAME,GAME/PICKUP.C,230,233,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
6,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,93,146,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,5e99f39fd8ef,PickUpCollision,GAME,GAME/PICKUP.C,235,238,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
8,5e99f39fd8ef,PuzzleHoleCollision,GAME,GAME/PICKUP.C,217,220,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
9,5e99f39fd8ef,SearchObjectCollision,GAME,GAME/PICKUP.C,170,173,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,5e99f39fd8ef,CogSwitchCollision,GAME,GAME/SWITCH.C,161,165,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
11,5e99f39fd8ef,CrowDoveSwitchCollision,GAME,GAME/SWITCH.C,127,130,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
12,5e99f39fd8ef,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,185,189,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
13,5e99f39fd8ef,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,173,177,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
14,5e99f39fd8ef,PulleyCollision,GAME,GAME/SWITCH.C,328,332,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
15,5e99f39fd8ef,RailSwitchCollision,GAME,GAME/SWITCH.C,197,201,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
16,5e99f39fd8ef,SwitchCollision,GAME,GAME/SWITCH.C,346,350,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
17,5e99f39fd8ef,SwitchCollision2,GAME,GAME/SWITCH.C,340,344,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
18,5e99f39fd8ef,TurnSwitchCollision,GAME,GAME/SWITCH.C,203,320,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
19,5e99f39fd8ef,UnderwaterSwitchCollision,GAME,GAME/SWITCH.C,334,338,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
20,5e99f39fd8ef,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,214,218,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
