rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,161,TestLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,192,MoveLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,216,TestBoundsCollide,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,218,TestCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,5e99f39fd8ef,DoorCollision,GAME,GAME/DOOR.C,224,ItemPushLara,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,5e99f39fd8ef,DoubleDoorCollision,GAME,GAME/DOOR.C,119,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
7,5e99f39fd8ef,PushPullKickDoorCollision,GAME,GAME/DOOR.C,124,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
8,5e99f39fd8ef,UnderwaterDoorCollision,GAME,GAME/DOOR.C,114,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
9,5e99f39fd8ef,KeyHoleCollision,GAME,GAME/PICKUP.C,232,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
10,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,100,TestTriggersAtXYZ,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,109,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,113,GetBoundsAccurate,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,119,TestLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,5e99f39fd8ef,MonitorScreenCollision,GAME,GAME/PICKUP.C,121,MoveLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,5e99f39fd8ef,PickUpCollision,GAME,GAME/PICKUP.C,237,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
16,5e99f39fd8ef,PuzzleHoleCollision,GAME,GAME/PICKUP.C,219,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
17,5e99f39fd8ef,SearchObjectCollision,GAME,GAME/PICKUP.C,172,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
18,5e99f39fd8ef,CogSwitchCollision,GAME,GAME/SWITCH.C,163,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
19,5e99f39fd8ef,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,187,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
20,5e99f39fd8ef,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,175,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
21,5e99f39fd8ef,PulleyCollision,GAME,GAME/SWITCH.C,330,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
22,5e99f39fd8ef,RailSwitchCollision,GAME,GAME/SWITCH.C,199,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
23,5e99f39fd8ef,SwitchCollision,GAME,GAME/SWITCH.C,348,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
24,5e99f39fd8ef,SwitchCollision2,GAME,GAME/SWITCH.C,342,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
25,5e99f39fd8ef,TurnSwitchCollision,GAME,GAME/SWITCH.C,216,TestLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,5e99f39fd8ef,TurnSwitchCollision,GAME,GAME/SWITCH.C,218,MoveLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,5e99f39fd8ef,TurnSwitchCollision,GAME,GAME/SWITCH.C,240,GetSwitchTrigger,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,5e99f39fd8ef,TurnSwitchCollision,GAME,GAME/SWITCH.C,242,TriggerActive,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
