rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,147,229,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,d96359c1d9f3,DoubleDoorCollision,GAME,GAME/DOOR.C,117,120,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
3,d96359c1d9f3,PushPullKickDoorCollision,GAME,GAME/DOOR.C,122,125,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
4,d96359c1d9f3,UnderwaterDoorCollision,GAME,GAME/DOOR.C,112,115,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
5,d96359c1d9f3,FireCollision,GAME,GAME/FLMTORCH.C,59,62,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
6,d96359c1d9f3,KeyHoleCollision,GAME,GAME/PICKUP.C,230,233,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
7,d96359c1d9f3,MonitorScreenCollision,GAME,GAME/PICKUP.C,93,146,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,d96359c1d9f3,PickUpCollision,GAME,GAME/PICKUP.C,235,238,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
9,d96359c1d9f3,PuzzleHoleCollision,GAME,GAME/PICKUP.C,217,220,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,d96359c1d9f3,SearchObjectCollision,GAME,GAME/PICKUP.C,170,173,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
11,d96359c1d9f3,CogSwitchCollision,GAME,GAME/SWITCH.C,161,165,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
12,d96359c1d9f3,CrowDoveSwitchCollision,GAME,GAME/SWITCH.C,127,130,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
13,d96359c1d9f3,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,185,189,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
14,d96359c1d9f3,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,173,177,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
15,d96359c1d9f3,JumpSwitchCollision,GAME,GAME/SWITCH.C,191,195,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
16,d96359c1d9f3,PulleyCollision,GAME,GAME/SWITCH.C,328,332,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
17,d96359c1d9f3,RailSwitchCollision,GAME,GAME/SWITCH.C,197,201,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
18,d96359c1d9f3,SwitchCollision,GAME,GAME/SWITCH.C,346,350,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
19,d96359c1d9f3,SwitchCollision2,GAME,GAME/SWITCH.C,340,344,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
20,d96359c1d9f3,TurnSwitchCollision,GAME,GAME/SWITCH.C,203,320,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
21,d96359c1d9f3,UnderwaterSwitchCollision,GAME,GAME/SWITCH.C,334,338,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
22,d96359c1d9f3,CeilingTrapDoorCollision,GAME,GAME/TRAPS.C,220,224,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
23,d96359c1d9f3,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,214,218,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
