rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,161,TestLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,192,MoveLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,216,TestBoundsCollide,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,218,TestCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,d96359c1d9f3,DoorCollision,GAME,GAME/DOOR.C,224,ItemPushLara,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,d96359c1d9f3,DoubleDoorCollision,GAME,GAME/DOOR.C,119,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
7,d96359c1d9f3,PushPullKickDoorCollision,GAME,GAME/DOOR.C,124,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
8,d96359c1d9f3,UnderwaterDoorCollision,GAME,GAME/DOOR.C,114,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
9,d96359c1d9f3,FireCollision,GAME,GAME/FLMTORCH.C,61,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
10,d96359c1d9f3,KeyHoleCollision,GAME,GAME/PICKUP.C,232,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
11,d96359c1d9f3,MonitorScreenCollision,GAME,GAME/PICKUP.C,100,TestTriggersAtXYZ,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,d96359c1d9f3,MonitorScreenCollision,GAME,GAME/PICKUP.C,109,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,d96359c1d9f3,MonitorScreenCollision,GAME,GAME/PICKUP.C,113,GetBoundsAccurate,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
