rank,candidate_id,context_kind,source_symbol,source_module,source_file,geometry_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,61d55bb1809b,caller,TrapCollision,GAME,GAME/COLLIDE.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
2,61d55bb1809b,caller,UnderwaterDoorCollision,GAME,GAME/DOOR.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
3,61d55bb1809b,caller,FireCollision,GAME,GAME/FLMTORCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
4,61d55bb1809b,caller,FlameTorchControl,GAME,GAME/FLMTORCH.C,caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
5,61d55bb1809b,caller,KeyHoleCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
6,61d55bb1809b,caller,MonitorScreenCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
7,61d55bb1809b,caller,PuzzleDoneCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
8,61d55bb1809b,caller,PuzzleHoleCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
9,61d55bb1809b,caller,SearchObjectCollision,GAME,GAME/PICKUP.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
10,61d55bb1809b,caller,CogSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
11,61d55bb1809b,caller,CrowDoveSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
12,61d55bb1809b,caller,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
13,61d55bb1809b,caller,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
14,61d55bb1809b,caller,PulleyCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
15,61d55bb1809b,caller,RailSwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
16,61d55bb1809b,caller,SwitchCollision,GAME,GAME/SWITCH.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
17,61d55bb1809b,caller,CeilingTrapDoorCollision,GAME,GAME/TRAPS.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
18,61d55bb1809b,caller,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
19,61d55bb1809b,caller,RollingBallCollision,GAME,GAME/TRAPS.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
20,61d55bb1809b,caller,TrapDoorCollision,GAME,GAME/TRAPS.C,collision-switch-door-caller,collision,no,no,no,mapped-context-not-direct-candidate-proof
21,61d55bb1809b,callee,TestCollision,GAME,GAME/SPHERE.C,geometry-callee,collision,no,no,no,mapped-context-not-direct-candidate-proof
