rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,61d55bb1809b,TrapCollision,GAME,GAME/COLLIDE.C,358,378,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,61d55bb1809b,UnderwaterDoorCollision,GAME,GAME/DOOR.C,112,115,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
3,61d55bb1809b,FireCollision,GAME,GAME/FLMTORCH.C,59,62,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
4,61d55bb1809b,FlameTorchControl,GAME,GAME/FLMTORCH.C,30,33,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
5,61d55bb1809b,KeyHoleCollision,GAME,GAME/PICKUP.C,230,233,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
6,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,93,146,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,61d55bb1809b,PuzzleDoneCollision,GAME,GAME/PICKUP.C,222,228,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,61d55bb1809b,PuzzleHoleCollision,GAME,GAME/PICKUP.C,217,220,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
9,61d55bb1809b,SearchObjectCollision,GAME,GAME/PICKUP.C,170,173,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,61d55bb1809b,CogSwitchCollision,GAME,GAME/SWITCH.C,161,165,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
11,61d55bb1809b,CrowDoveSwitchCollision,GAME,GAME/SWITCH.C,127,130,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
12,61d55bb1809b,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,185,189,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
13,61d55bb1809b,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,173,177,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
14,61d55bb1809b,PulleyCollision,GAME,GAME/SWITCH.C,328,332,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
15,61d55bb1809b,RailSwitchCollision,GAME,GAME/SWITCH.C,197,201,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
16,61d55bb1809b,SwitchCollision,GAME,GAME/SWITCH.C,346,350,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
17,61d55bb1809b,CeilingTrapDoorCollision,GAME,GAME/TRAPS.C,220,224,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
18,61d55bb1809b,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,214,218,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
19,61d55bb1809b,RollingBallCollision,GAME,GAME/TRAPS.C,482,509,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
20,61d55bb1809b,TrapDoorCollision,GAME,GAME/TRAPS.C,226,230,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
