rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,61d55bb1809b,TrapCollision,GAME,GAME/COLLIDE.C,364,TestBoundsCollide,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,61d55bb1809b,TrapCollision,GAME,GAME/COLLIDE.C,369,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,61d55bb1809b,TrapCollision,GAME,GAME/COLLIDE.C,374,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,61d55bb1809b,UnderwaterDoorCollision,GAME,GAME/DOOR.C,114,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
5,61d55bb1809b,FireCollision,GAME,GAME/FLMTORCH.C,61,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
6,61d55bb1809b,FlameTorchControl,GAME,GAME/FLMTORCH.C,32,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
7,61d55bb1809b,KeyHoleCollision,GAME,GAME/PICKUP.C,232,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
8,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,100,TestTriggersAtXYZ,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,109,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,113,GetBoundsAccurate,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,119,TestLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,61d55bb1809b,MonitorScreenCollision,GAME,GAME/PICKUP.C,121,MoveLaraPosition,position-test,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,61d55bb1809b,PuzzleDoneCollision,GAME,GAME/PICKUP.C,226,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,61d55bb1809b,PuzzleHoleCollision,GAME,GAME/PICKUP.C,219,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
15,61d55bb1809b,SearchObjectCollision,GAME,GAME/PICKUP.C,172,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
16,61d55bb1809b,CogSwitchCollision,GAME,GAME/SWITCH.C,163,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
17,61d55bb1809b,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,187,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
18,61d55bb1809b,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,175,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
19,61d55bb1809b,PulleyCollision,GAME,GAME/SWITCH.C,330,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
20,61d55bb1809b,RailSwitchCollision,GAME,GAME/SWITCH.C,199,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
21,61d55bb1809b,SwitchCollision,GAME,GAME/SWITCH.C,348,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
22,61d55bb1809b,CeilingTrapDoorCollision,GAME,GAME/TRAPS.C,222,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
23,61d55bb1809b,FloorTrapDoorCollision,GAME,GAME/TRAPS.C,216,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
24,61d55bb1809b,RollingBallCollision,GAME,GAME/TRAPS.C,486,TestBoundsCollide,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,61d55bb1809b,RollingBallCollision,GAME,GAME/TRAPS.C,489,TestCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,61d55bb1809b,RollingBallCollision,GAME,GAME/TRAPS.C,492,TriggerActive,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,61d55bb1809b,RollingBallCollision,GAME,GAME/TRAPS.C,502,ObjectCollision,collision-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,61d55bb1809b,TrapDoorCollision,GAME,GAME/TRAPS.C,228,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
