rank,candidate_id,context_kind,source_symbol,source_module,source_file,switch_door_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,8d1fc6fc3cfc,caller,DoorControl,GAME,GAME/DOOR.C,switch-door-control-caller,door,no,no,no,mapped-context-not-direct-candidate-proof
2,8d1fc6fc3cfc,caller,PushPullKickDoorControl,GAME,GAME/DOOR.C,switch-door-control-caller,door,no,no,no,mapped-context-not-direct-candidate-proof
3,8d1fc6fc3cfc,caller,SequenceDoorControl,GAME,GAME/DOOR.C,switch-door-control-caller,door,no,no,no,mapped-context-not-direct-candidate-proof
4,8d1fc6fc3cfc,caller,UnderwaterDoorCollision,GAME,GAME/DOOR.C,switch-door-control-caller,door,no,no,no,mapped-context-not-direct-candidate-proof
5,8d1fc6fc3cfc,caller,undraw_shotgun,GAME,GAME/LARA1GUN.C,caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
6,8d1fc6fc3cfc,caller,LaraDoClimbLeftRight,GAME,GAME/LARACLMB.C,caller-context,lara,no,no,no,mapped-context-not-direct-candidate-proof
7,8d1fc6fc3cfc,caller,LaraControl,GAME,GAME/LARAMISC.C,switch-door-control-caller,control,no,no,no,mapped-context-not-direct-candidate-proof
8,8d1fc6fc3cfc,caller,AnimatingPickUp,GAME,GAME/PICKUP.C,caller-context,pickup-search,no,no,no,mapped-context-not-direct-candidate-proof
9,8d1fc6fc3cfc,caller,SearchObjectCollision,GAME,GAME/PICKUP.C,caller-context,collision,no,no,no,mapped-context-not-direct-candidate-proof
10,8d1fc6fc3cfc,caller,SearchObjectControl,GAME,GAME/PICKUP.C,switch-door-control-caller,control,no,no,no,mapped-context-not-direct-candidate-proof
11,8d1fc6fc3cfc,caller,CogSwitchControl,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
12,8d1fc6fc3cfc,caller,CrowDoveSwitchControl,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
13,8d1fc6fc3cfc,caller,CrowbarSwitchCollision,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
14,8d1fc6fc3cfc,caller,FullBlockSwitchCollision,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
15,8d1fc6fc3cfc,caller,FullBlockSwitchControl,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
16,8d1fc6fc3cfc,caller,RailSwitchCollision,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
17,8d1fc6fc3cfc,caller,SwitchCollision,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
18,8d1fc6fc3cfc,caller,SwitchCollision2,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
19,8d1fc6fc3cfc,caller,SwitchControl,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
20,8d1fc6fc3cfc,caller,TurnSwitchControl,GAME,GAME/SWITCH.C,switch-door-control-caller,switch,no,no,no,mapped-context-not-direct-candidate-proof
21,8d1fc6fc3cfc,caller,FallingCeiling,GAME,GAME/TRAPS.C,caller-context,trap,no,no,no,mapped-context-not-direct-candidate-proof
22,8d1fc6fc3cfc,caller,TrapDoorControl,GAME,GAME/TRAPS.C,switch-door-control-caller,door,no,no,no,mapped-context-not-direct-candidate-proof
23,8d1fc6fc3cfc,callee,SoundEffect,GAME,GAME/EFFECTS.C,effect-callee,effect,no,no,no,mapped-context-not-direct-candidate-proof
