rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,8d1fc6fc3cfc,DoorControl,GAME,GAME/DOOR.C,233,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,137,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,138,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,139,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,140,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,8d1fc6fc3cfc,PushPullKickDoorControl,GAME,GAME/DOOR.C,144,AnimateItem,animation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,72,TestTriggersAtXYZ,trigger-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,86,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,87,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,88,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,89,OpenThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,99,ShutThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,100,ShutThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,101,ShutThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,102,ShutThatDoor,door-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,8d1fc6fc3cfc,SequenceDoorControl,GAME,GAME/DOOR.C,109,AnimateItem,animation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,8d1fc6fc3cfc,UnderwaterDoorCollision,GAME,GAME/DOOR.C,114,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
18,8d1fc6fc3cfc,undraw_shotgun,GAME,GAME/LARA1GUN.C,135,AnimateItem,animation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,8d1fc6fc3cfc,LaraDoClimbLeftRight,GAME,GAME/LARACLMB.C,581,AnimateItem,animation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,8d1fc6fc3cfc,AnimatingPickUp,GAME,GAME/PICKUP.C,309,AnimateItem,animation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,8d1fc6fc3cfc,SearchObjectCollision,GAME,GAME/PICKUP.C,172,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
22,8d1fc6fc3cfc,SearchObjectControl,GAME,GAME/PICKUP.C,177,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
23,8d1fc6fc3cfc,CogSwitchControl,GAME,GAME/SWITCH.C,169,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
24,8d1fc6fc3cfc,CrowDoveSwitchControl,GAME,GAME/SWITCH.C,138,ExplodeItemNode,effect-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
