rank,candidate_id,context_kind,source_symbol,source_module,source_file,weapon_switch_effect_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1ddbda046e37,caller,FireWeapon,GAME,GAME/LARAFIRE.C,weapon-caller,weapon,no,no,no,mapped-context-not-direct-candidate-proof
2,1ddbda046e37,callee,ExplodeItemNode,GAME,GAME/CONTROL.C,effect-callee,destruction-effect,no,no,no,mapped-context-not-direct-candidate-proof
3,1ddbda046e37,callee,GetFloor,GAME,GAME/CONTROL.C,callee-context,collision-geometry,no,no,no,mapped-context-not-direct-candidate-proof
4,1ddbda046e37,callee,GetHeight,GAME,GAME/CONTROL.C,callee-context,collision-geometry,no,no,no,mapped-context-not-direct-candidate-proof
5,1ddbda046e37,callee,LOS,GAME,GAME/CONTROL.C,callee-context,collision-geometry,no,no,no,mapped-context-not-direct-candidate-proof
6,1ddbda046e37,callee,TestTriggers,GAME,GAME/CONTROL.C,callee-context,other,no,no,no,mapped-context-not-direct-candidate-proof
7,1ddbda046e37,callee,ShatterObject,GAME,GAME/DEBRIS.C,effect-callee,destruction-effect,no,no,no,mapped-context-not-direct-candidate-proof
8,1ddbda046e37,callee,SoundEffect,GAME,GAME/EFFECTS.C,effect-callee,effect,no,no,no,mapped-context-not-direct-candidate-proof
9,1ddbda046e37,callee,AddActiveItem,GAME,GAME/ITEMS.C,callee-context,item-activation,no,no,no,mapped-context-not-direct-candidate-proof
10,1ddbda046e37,callee,HitTarget,GAME,GAME/LARAFIRE.C,weapon-callee,weapon,no,no,no,mapped-context-not-direct-candidate-proof
11,1ddbda046e37,callee,SmashObject,GAME,GAME/OBJECTS.C,effect-callee,destruction-effect,no,no,no,mapped-context-not-direct-candidate-proof
12,1ddbda046e37,callee,GetSwitchTrigger,GAME,GAME/SWITCH.C,switch-callee,switch,no,no,no,mapped-context-not-direct-candidate-proof
13,1ddbda046e37,callee,ProcessExplodingSwitchType8,GAME,GAME/SWITCH.C,switch-callee,switch,no,no,no,mapped-context-not-direct-candidate-proof
14,1ddbda046e37,callee,SetupPadVibration,SPEC_PSX,SPEC_PSX/PSOUTPUT.C,callee-context,platform-feedback,no,no,no,mapped-context-not-direct-candidate-proof
15,1ddbda046e37,callee,SetupPadVibration,SPEC_PSXPC,SPEC_PSXPC/PSOUTPUT.C,callee-context,platform-feedback,no,no,no,mapped-context-not-direct-candidate-proof
16,1ddbda046e37,callee,GetHeight,SPEC_PSXPC_N,SPEC_PSXPC_N/GETSTUFF.C,callee-context,collision-geometry,no,no,no,mapped-context-not-direct-candidate-proof
17,1ddbda046e37,callee,SetupPadVibration,SPEC_PSXPC_N,SPEC_PSXPC_N/PSOUTPUT.C,callee-context,platform-feedback,no,no,no,mapped-context-not-direct-candidate-proof
