rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f457f2772655,OpenThatDoor,GAME,GAME/DOOR.C,236,239,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
2,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1209,1491,31,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,f457f2772655,LoadGameflow,GAME,GAME/GAMEFLOW.C,545,781,14,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,f457f2772655,LaraSwimCollision,GAME,GAME/LARASWIM.C,753,1075,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,f457f2772655,RestoreLaraData,GAME,GAME/SAVEGAME.C,297,353,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,f457f2772655,SaveLaraData,GAME,GAME/SAVEGAME.C,355,395,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,f457f2772655,sgSaveGame,GAME,GAME/SAVEGAME.C,63,80,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,f457f2772655,CalculateSpotCams,GAME,GAME/SPOTCAM.C,429,1089,42,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,f457f2772655,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,456,503,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,f457f2772655,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,346,387,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,f457f2772655,DEL_CDFS_Read,SPEC_PSXPC,SPEC_PSXPC/CD.C,439,474,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,f457f2772655,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,328,362,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,f457f2772655,DEL_CDFS_Read,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,466,521,17,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,f457f2772655,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,354,397,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
