rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f457f2772655,OpenThatDoor,GAME,GAME/DOOR.C,238,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1222,memcpy,savegame-memory-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1235,SetFade,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1240,memset,savegame-memory-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1244,S_LoadLevelFile,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1249,InitialiseFXArray,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1250,InitialiseLOTarray,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1252,ClearFXFogBulbs,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1257,InitSpotCamSequences,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1258,InitialisePickUpDisplay,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1261,S_InitialiseScreen,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1265,phd_InitWindow,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1267,SOUND_Stop,audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1272,sgRestoreGame,savegame-memory-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1277,IsVolumetric,other,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1294,InitCutPlayed,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1308,S_CDPlay,platform-cd-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1322,CheckCutPlayed,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1335,SetScreenFadeIn,camera-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1346,InitialiseCamera,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1350,show_game_malloc_totals,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1358,ControlPhase,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1366,GPU_BeginScene,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
24,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1370,PrintString,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1381,DrawPhaseGame,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1382,handle_cutseq_triggering,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1397,S_CallInventory2,frontend-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1405,QuickControlPhase,level-runtime-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,f457f2772655,DoLevel,GAME,GAME/GAMEFLOW.C,1435,S_SoundStopAllSamples,audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
