rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1196,BinocularCamera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1225,CDDA_SetMasterVolume,audio-effect-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
3,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1248,SoundEffect,audio-effect-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
4,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1253,CDDA_SetMasterVolume,audio-effect-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
5,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1267,CDDA_SetMasterVolume,audio-effect-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
6,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1279,do_new_cutscene_camera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
7,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1308,GetBoundsAccurate,collision-geometry-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
8,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1314,mSqrt,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
9,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1315,phd_atan_asm,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
10,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1318,GetBoundsAccurate,collision-geometry-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
11,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1319,phd_atan_asm,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
12,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1329,S_Warn,diagnostic-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
13,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1330,assert,diagnostic-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
14,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1446,LookCamera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
15,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1450,CombatCamera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
16,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1479,GetLaraJointPos,lara-state-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
17,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1493,SIN,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
18,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1494,COS,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
19,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1498,ConfirmCameraTargetPos,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
20,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1532,GetFloor,collision-geometry-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
21,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1542,ABS,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
22,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1544,ABS,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
23,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1546,ABS,math-transform-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
24,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1558,ChaseCamera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
25,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1562,FixedCamera,camera-runtime-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
26,95c41ac597d6,CalculateCamera,GAME,GAME/CAMERA.C,1590,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
27,95c41ac597d6,MoveCamera,GAME,GAME/CAMERA.C,2350,GetRandomControl,lara-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,95c41ac597d6,MoveCamera,GAME,GAME/CAMERA.C,2352,GetRandomControl,lara-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,95c41ac597d6,MoveCamera,GAME,GAME/CAMERA.C,2354,GetRandomControl,lara-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,95c41ac597d6,MoveCamera,GAME,GAME/CAMERA.C,2364,GetFloor,collision-geometry-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
