rank,candidate_id,context_kind,source_symbol,source_module,source_file,cd_load_audio_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1e35f3f4fb97,caller,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
2,1e35f3f4fb97,caller,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
3,1e35f3f4fb97,caller,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
4,1e35f3f4fb97,caller,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
5,1e35f3f4fb97,caller,S_StartSyncedAudio,SPEC_PSX,SPEC_PSX/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
6,1e35f3f4fb97,caller,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
7,1e35f3f4fb97,caller,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,level-load-caller,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
8,1e35f3f4fb97,caller,mcOpen,SPEC_PSX,SPEC_PSX/MEMCARD.C,memory-card-context,memory-card,no,no,no,mapped-context-not-direct-candidate-proof
9,1e35f3f4fb97,caller,S_PlayFMV,SPEC_PSX,SPEC_PSX/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
10,1e35f3f4fb97,caller,main,SPEC_PSX,SPEC_PSX/PSXMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
11,1e35f3f4fb97,caller,DEL_CDFS_Read,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
12,1e35f3f4fb97,caller,DEL_ChangeCDMode,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
13,1e35f3f4fb97,caller,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
14,1e35f3f4fb97,caller,S_CDPlay,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
15,1e35f3f4fb97,caller,S_StartSyncedAudio,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
16,1e35f3f4fb97,caller,GPU_FlipNoIdle,SPEC_PSXPC,SPEC_PSXPC/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
17,1e35f3f4fb97,caller,LOAD_Start,SPEC_PSXPC,SPEC_PSXPC/LOAD_LEV.C,level-load-caller,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
18,1e35f3f4fb97,caller,mcOpen,SPEC_PSXPC,SPEC_PSXPC/MEMCARD.C,memory-card-context,memory-card,no,no,no,mapped-context-not-direct-candidate-proof
