rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,456,503,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,389,425,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,346,387,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,1e35f3f4fb97,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,261,292,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,1e35f3f4fb97,S_StartSyncedAudio,SPEC_PSX,SPEC_PSX/CD.C,327,338,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,71,120,9,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,1e35f3f4fb97,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,307,410,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,1e35f3f4fb97,mcOpen,SPEC_PSX,SPEC_PSX/MEMCARD.C,63,87,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,1e35f3f4fb97,S_PlayFMV,SPEC_PSX,SPEC_PSX/MOVIE.C,6,293,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,1e35f3f4fb97,main,SPEC_PSX,SPEC_PSX/PSXMAIN.C,39,122,31,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSXPC,SPEC_PSXPC/CD.C,439,474,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSXPC,SPEC_PSXPC/CD.C,364,408,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
13,1e35f3f4fb97,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,328,362,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,1e35f3f4fb97,S_CDPlay,SPEC_PSXPC,SPEC_PSXPC/CD.C,245,276,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,1e35f3f4fb97,S_StartSyncedAudio,SPEC_PSXPC,SPEC_PSXPC/CD.C,309,320,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSXPC,SPEC_PSXPC/GPU.C,73,116,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,1e35f3f4fb97,LOAD_Start,SPEC_PSXPC,SPEC_PSXPC/LOAD_LEV.C,306,403,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,1e35f3f4fb97,mcOpen,SPEC_PSXPC,SPEC_PSXPC/MEMCARD.C,58,79,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
19,1e35f3f4fb97,GPU_ClearVRAM,SPEC_PSXPC,SPEC_PSXPC/MISC.C,229,254,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
20,1e35f3f4fb97,GPU_FlipToBuffer,SPEC_PSXPC,SPEC_PSXPC/MISC.C,299,313,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
21,1e35f3f4fb97,S_PlayFMV,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,5,63,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
22,1e35f3f4fb97,main,SPEC_PSXPC,SPEC_PSXPC/PSXPCMAIN.C,39,87,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
23,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,466,521,17,source-with-calls,no,no,no,callsite-map-not-yet-gated
24,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,399,435,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
25,1e35f3f4fb97,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,354,397,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
26,1e35f3f4fb97,S_CDPlay,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,267,298,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
27,1e35f3f4fb97,S_StartSyncedAudio,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,333,346,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
28,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSXPC_N,SPEC_PSXPC_N/GPU.C,82,136,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
29,1e35f3f4fb97,LOAD_Start,SPEC_PSXPC_N,SPEC_PSXPC_N/LOAD_LEV.C,314,417,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
30,1e35f3f4fb97,mcOpen,SPEC_PSXPC_N,SPEC_PSXPC_N/MEMCARD.C,62,86,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
31,1e35f3f4fb97,GPU_ClearVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,326,350,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
