rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,463,DEL_ChangeCDMode,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,470,CdIntToPos,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,471,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,473,CdRead,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,476,CdReadSync,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,478,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,488,CdIntToPos,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,489,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,490,CdRead,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,492,CdReadSync,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,494,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,1e35f3f4fb97,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,497,memcpy,file-io-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,399,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,400,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,418,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,1e35f3f4fb97,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,419,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,353,DEL_ChangeCDMode,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,356,CdSearchFile,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,357,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,358,CdRead,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,360,CdReadSync,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,362,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,365,memcpy,file-io-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
24,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,367,CdPosToInt,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,373,sprintf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,374,CdSearchFile,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,1e35f3f4fb97,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,375,CdPosToInt,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,1e35f3f4fb97,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,268,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,1e35f3f4fb97,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,269,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,1e35f3f4fb97,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,270,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
31,1e35f3f4fb97,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,271,DEL_ChangeCDMode,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
32,1e35f3f4fb97,S_StartSyncedAudio,SPEC_PSX,SPEC_PSX/CD.C,331,S_CDPlay,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
33,1e35f3f4fb97,S_StartSyncedAudio,SPEC_PSX,SPEC_PSX/CD.C,335,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
34,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,76,ProfileRGB,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
35,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,77,ProfileAddOT,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
36,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,82,DrawSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
37,1e35f3f4fb97,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,87,ProfileAddDrawOT,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
