rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,456,503,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,653df7c5909b,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,389,425,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,653df7c5909b,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,346,387,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,653df7c5909b,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,261,292,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,653df7c5909b,S_CDStop,SPEC_PSX,SPEC_PSX/CD.C,294,305,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,653df7c5909b,S_PlayFMV,SPEC_PSX,SPEC_PSX/MOVIE.C,6,293,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,653df7c5909b,DEL_CDFS_Read,SPEC_PSXPC,SPEC_PSXPC/CD.C,439,474,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,653df7c5909b,DEL_ChangeCDMode,SPEC_PSXPC,SPEC_PSXPC/CD.C,364,408,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
9,653df7c5909b,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,328,362,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,653df7c5909b,S_CDPlay,SPEC_PSXPC,SPEC_PSXPC/CD.C,245,276,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,653df7c5909b,S_CDStop,SPEC_PSXPC,SPEC_PSXPC/CD.C,278,287,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,653df7c5909b,S_PlayFMV,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,5,63,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,653df7c5909b,DEL_CDFS_Read,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,466,521,17,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,653df7c5909b,DEL_ChangeCDMode,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,399,435,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,653df7c5909b,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,354,397,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,653df7c5909b,S_CDPlay,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,267,298,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,653df7c5909b,S_CDStop,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,300,311,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,653df7c5909b,S_PlayFMV,SPEC_PSXPC_N,SPEC_PSXPC_N/MOVIE.C,6,68,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
