rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,463,DEL_ChangeCDMode,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,470,CdIntToPos,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,471,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,473,CdRead,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,476,CdReadSync,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,478,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,488,CdIntToPos,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,489,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,490,CdRead,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,492,CdReadSync,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,494,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,653df7c5909b,DEL_CDFS_Read,SPEC_PSX,SPEC_PSX/CD.C,497,memcpy,file-io-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,653df7c5909b,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,399,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,653df7c5909b,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,400,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,653df7c5909b,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,418,CdControlB,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,653df7c5909b,DEL_ChangeCDMode,SPEC_PSX,SPEC_PSX/CD.C,419,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,653df7c5909b,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,353,DEL_ChangeCDMode,cd-audio-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
