rank,candidate_id,context_kind,source_symbol,source_module,source_file,frontend_display_menu_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,de919274685f,caller,S_CallInventory2,GAME,GAME/NEWINV2.C,inventory-menu-caller,inventory-menu,no,no,no,mapped-context-not-direct-candidate-proof
2,de919274685f,caller,CreateMonoScreen,SPEC_PSX,SPEC_PSX/3D_OBJ.C,screen-setup-context,screen-setup,no,no,no,mapped-context-not-direct-candidate-proof
3,de919274685f,caller,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
4,de919274685f,caller,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
5,de919274685f,caller,FMV_InitialiseVRAM,SPEC_PSX,SPEC_PSX/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
6,de919274685f,caller,main,SPEC_PSX,SPEC_PSX/PSXMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
7,de919274685f,caller,S_LoadLevelFile,SPEC_PSX,SPEC_PSX/ROOMLOAD.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
8,de919274685f,caller,CreateMonoScreen,SPEC_PSXPC,SPEC_PSXPC/3D_OBJ.C,screen-setup-context,screen-setup,no,no,no,mapped-context-not-direct-candidate-proof
9,de919274685f,caller,GPU_FlipNoIdle,SPEC_PSXPC,SPEC_PSXPC/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
10,de919274685f,caller,LOAD_Start,SPEC_PSXPC,SPEC_PSXPC/LOAD_LEV.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
11,de919274685f,caller,GPU_ClearVRAM,SPEC_PSXPC,SPEC_PSXPC/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
12,de919274685f,caller,GPU_FlipToBuffer,SPEC_PSXPC,SPEC_PSXPC/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
13,de919274685f,caller,GPU_SyncBothScreens,SPEC_PSXPC,SPEC_PSXPC/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
14,de919274685f,caller,FMV_InitialiseVRAM,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
15,de919274685f,caller,main,SPEC_PSXPC,SPEC_PSXPC/PSXPCMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
16,de919274685f,caller,S_LoadLevelFile,SPEC_PSXPC,SPEC_PSXPC/ROOMLOAD.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
17,de919274685f,caller,CreateMonoScreen,SPEC_PSXPC_N,SPEC_PSXPC_N/3D_OBJ.C,screen-setup-context,screen-setup,no,no,no,mapped-context-not-direct-candidate-proof
18,de919274685f,caller,GPU_FlipNoIdle,SPEC_PSXPC_N,SPEC_PSXPC_N/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
19,de919274685f,caller,LOAD_Start,SPEC_PSXPC_N,SPEC_PSXPC_N/LOAD_LEV.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
20,de919274685f,caller,GPU_ClearVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
21,de919274685f,caller,GPU_FlipToBuffer,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
22,de919274685f,caller,GPU_SyncBothScreens,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
23,de919274685f,caller,FMV_InitialiseVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
24,de919274685f,caller,main,SPEC_PSXPC_N,SPEC_PSXPC_N/PSXMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
25,de919274685f,caller,S_LoadLevelFile,SPEC_PSXPC_N,SPEC_PSXPC_N/ROOMLOAD.C,load-file-context,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
