rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3153,3478,51,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,de919274685f,CreateMonoScreen,SPEC_PSX,SPEC_PSX/3D_OBJ.C,9,64,16,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,de919274685f,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,71,120,9,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,de919274685f,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,307,410,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,de919274685f,FMV_InitialiseVRAM,SPEC_PSX,SPEC_PSX/MOVIE.C,296,313,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,de919274685f,main,SPEC_PSX,SPEC_PSX/PSXMAIN.C,39,122,34,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,de919274685f,S_LoadLevelFile,SPEC_PSX,SPEC_PSX/ROOMLOAD.C,53,117,18,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,de919274685f,CreateMonoScreen,SPEC_PSXPC,SPEC_PSXPC/3D_OBJ.C,9,42,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,de919274685f,GPU_FlipNoIdle,SPEC_PSXPC,SPEC_PSXPC/GPU.C,73,116,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,de919274685f,LOAD_Start,SPEC_PSXPC,SPEC_PSXPC/LOAD_LEV.C,306,403,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,de919274685f,GPU_ClearVRAM,SPEC_PSXPC,SPEC_PSXPC/MISC.C,229,254,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,de919274685f,GPU_FlipToBuffer,SPEC_PSXPC,SPEC_PSXPC/MISC.C,299,313,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
13,de919274685f,GPU_SyncBothScreens,SPEC_PSXPC,SPEC_PSXPC/MISC.C,281,296,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
14,de919274685f,FMV_InitialiseVRAM,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,65,84,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,de919274685f,main,SPEC_PSXPC,SPEC_PSXPC/PSXPCMAIN.C,39,87,14,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,de919274685f,S_LoadLevelFile,SPEC_PSXPC,SPEC_PSXPC/ROOMLOAD.C,51,115,16,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,de919274685f,CreateMonoScreen,SPEC_PSXPC_N,SPEC_PSXPC_N/3D_OBJ.C,9,64,16,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,de919274685f,GPU_FlipNoIdle,SPEC_PSXPC_N,SPEC_PSXPC_N/GPU.C,82,136,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
19,de919274685f,LOAD_Start,SPEC_PSXPC_N,SPEC_PSXPC_N/LOAD_LEV.C,314,417,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
20,de919274685f,GPU_ClearVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,326,350,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
21,de919274685f,GPU_FlipToBuffer,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,398,424,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
22,de919274685f,GPU_SyncBothScreens,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,375,395,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
23,de919274685f,FMV_InitialiseVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MOVIE.C,71,88,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
24,de919274685f,main,SPEC_PSXPC_N,SPEC_PSXPC_N/PSXMAIN.C,42,125,36,source-with-calls,no,no,no,callsite-map-not-yet-gated
25,de919274685f,S_LoadLevelFile,SPEC_PSXPC_N,SPEC_PSXPC_N/ROOMLOAD.C,62,138,19,source-with-calls,no,no,no,callsite-map-not-yet-gated
