rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3198,SOUND_Stop,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3199,SoundEffect,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3200,S_SetReverbType,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3215,mcOpen,memory-card-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3233,S_CDPause,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3234,DrawSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3236,ClearOTagR,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3238,ClearOTagR,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3243,init_new_inventry,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3255,GPU_BeginScene,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3257,S_UpdateInput,input-pad-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3258,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3260,UpdatePulseColour,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3261,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3266,SoundEffect,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3271,SoundEffect,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3277,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3295,InitObjGTE,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3296,do_debounced_joystick_poo,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3297,draw_outlines,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3302,dels_give_lara_guns_cheat,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3308,dels_give_lara_items_cheat,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3313,do_keypad_mode,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
24,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3318,do_examine_mode,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3322,do_stats_mode,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3328,do_stats_mode,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3332,draw_current_object_list,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3333,handle_inventry_menu,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3336,draw_current_object_list,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3339,draw_ammo_selector,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
31,de919274685f,S_CallInventory2,GAME,GAME/NEWINV2.C,3340,fade_ammo_selector,inventory-menu-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
