rank,candidate_id,context_kind,source_symbol,source_module,source_file,frontend_display_menu_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,4c90c6af8f9d,caller,DrawGameInfo,GAME,GAME/HEALTH.C,hud-display-caller,hud-display,no,no,no,mapped-context-not-direct-candidate-proof
2,4c90c6af8f9d,caller,draw_ammo_selector,GAME,GAME/NEWINV2.C,inventory-menu-caller,inventory-menu,no,no,no,mapped-context-not-direct-candidate-proof
3,4c90c6af8f9d,caller,draw_current_object_list,GAME,GAME/NEWINV2.C,inventory-menu-caller,inventory-menu,no,no,no,mapped-context-not-direct-candidate-proof
4,4c90c6af8f9d,caller,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,cd-init-caller,cd-init-service,no,no,no,mapped-context-not-direct-candidate-proof
5,4c90c6af8f9d,caller,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
6,4c90c6af8f9d,caller,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
7,4c90c6af8f9d,caller,DisplayFiles,SPEC_PSX,SPEC_PSX/LOADSAVE.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
8,4c90c6af8f9d,caller,DisplayConfig,SPEC_PSX,SPEC_PSX/SPECIFIC.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
9,4c90c6af8f9d,caller,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,cd-init-caller,cd-init-service,no,no,no,mapped-context-not-direct-candidate-proof
10,4c90c6af8f9d,caller,FILE_Length,SPEC_PSXPC,SPEC_PSXPC/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
11,4c90c6af8f9d,caller,FILE_Load,SPEC_PSXPC,SPEC_PSXPC/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
12,4c90c6af8f9d,caller,DisplayFiles,SPEC_PSXPC,SPEC_PSXPC/LOADSAVE.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
13,4c90c6af8f9d,caller,DisplayConfig,SPEC_PSXPC,SPEC_PSXPC/SPECIFIC.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
14,4c90c6af8f9d,caller,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-init-caller,cd-init-service,no,no,no,mapped-context-not-direct-candidate-proof
15,4c90c6af8f9d,caller,FILE_Length,SPEC_PSXPC_N,SPEC_PSXPC_N/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
16,4c90c6af8f9d,caller,FILE_Load,SPEC_PSXPC_N,SPEC_PSXPC_N/FILE.C,file-service-caller,file-service,no,no,no,mapped-context-not-direct-candidate-proof
17,4c90c6af8f9d,caller,DisplayFiles,SPEC_PSXPC_N,SPEC_PSXPC_N/LOADSAVE.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
18,4c90c6af8f9d,caller,DisplayConfig,SPEC_PSXPC_N,SPEC_PSXPC_N/SPECIFIC.C,loadsave-menu-caller,loadsave-menu,no,no,no,mapped-context-not-direct-candidate-proof
