rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,203,283,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,4c90c6af8f9d,draw_ammo_selector,GAME,GAME/NEWINV2.C,1355,1449,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,4c90c6af8f9d,draw_current_object_list,GAME,GAME/NEWINV2.C,1890,2432,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,4c90c6af8f9d,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,346,387,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,55,96,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,12,53,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,4c90c6af8f9d,DisplayFiles,SPEC_PSX,SPEC_PSX/LOADSAVE.C,44,117,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,4c90c6af8f9d,DisplayConfig,SPEC_PSX,SPEC_PSX/SPECIFIC.C,124,183,28,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,4c90c6af8f9d,InitNewCDSystem,SPEC_PSXPC,SPEC_PSXPC/CD.C,328,362,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,4c90c6af8f9d,FILE_Length,SPEC_PSXPC,SPEC_PSXPC/FILE.C,49,71,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,4c90c6af8f9d,FILE_Load,SPEC_PSXPC,SPEC_PSXPC/FILE.C,8,47,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,4c90c6af8f9d,DisplayFiles,SPEC_PSXPC,SPEC_PSXPC/LOADSAVE.C,35,108,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,4c90c6af8f9d,DisplayConfig,SPEC_PSXPC,SPEC_PSXPC/SPECIFIC.C,119,548,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
14,4c90c6af8f9d,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,354,397,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,4c90c6af8f9d,FILE_Length,SPEC_PSXPC_N,SPEC_PSXPC_N/FILE.C,60,101,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,4c90c6af8f9d,FILE_Load,SPEC_PSXPC_N,SPEC_PSXPC_N/FILE.C,17,58,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,4c90c6af8f9d,DisplayFiles,SPEC_PSXPC_N,SPEC_PSXPC_N/LOADSAVE.C,44,117,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,4c90c6af8f9d,DisplayConfig,SPEC_PSXPC_N,SPEC_PSXPC_N/SPECIFIC.C,124,183,28,source-with-calls,no,no,no,callsite-map-not-yet-gated
