rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,238,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,269,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,270,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,273,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,274,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,4c90c6af8f9d,DrawGameInfo,GAME,GAME/HEALTH.C,277,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,4c90c6af8f9d,draw_ammo_selector,GAME,GAME/NEWINV2.C,1419,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,4c90c6af8f9d,draw_current_object_list,GAME,GAME/NEWINV2.C,2262,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,4c90c6af8f9d,draw_current_object_list,GAME,GAME/NEWINV2.C,2270,PrintString,text-ui-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,4c90c6af8f9d,draw_current_object_list,GAME,GAME/NEWINV2.C,2370,SoundEffect,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,4c90c6af8f9d,draw_current_object_list,GAME,GAME/NEWINV2.C,2383,SoundEffect,audio-sound-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,4c90c6af8f9d,InitNewCDSystem,SPEC_PSX,SPEC_PSX/CD.C,362,VSync,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,77,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,78,PCopen,level-load-service-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,82,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,87,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,90,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,4c90c6af8f9d,FILE_Length,SPEC_PSX,SPEC_PSX/FILE.C,91,PCclose,level-load-service-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,26,DEL_CDFS_Read,level-load-service-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,32,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,33,PCopen,level-load-service-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,37,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,4c90c6af8f9d,FILE_Load,SPEC_PSX,SPEC_PSX/FILE.C,41,printf,diagnostic-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
