rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1b3534d34062,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,71,120,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,307,410,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,1b3534d34062,S_PlayFMV,SPEC_PSX,SPEC_PSX/MOVIE.C,6,293,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,1b3534d34062,main,SPEC_PSX,SPEC_PSX/PSXMAIN.C,39,122,14,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,1b3534d34062,GPU_FlipNoIdle,SPEC_PSXPC,SPEC_PSXPC/GPU.C,73,116,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,1b3534d34062,LOAD_Start,SPEC_PSXPC,SPEC_PSXPC/LOAD_LEV.C,306,403,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,1b3534d34062,GPU_FlipToBuffer,SPEC_PSXPC,SPEC_PSXPC/MISC.C,299,313,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
8,1b3534d34062,S_PlayFMV,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,5,63,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,1b3534d34062,main,SPEC_PSXPC,SPEC_PSXPC/PSXPCMAIN.C,39,87,14,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,1b3534d34062,GPU_FlipNoIdle,SPEC_PSXPC_N,SPEC_PSXPC_N/GPU.C,82,136,4,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,1b3534d34062,LOAD_Start,SPEC_PSXPC_N,SPEC_PSXPC_N/LOAD_LEV.C,314,417,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,1b3534d34062,GPU_FlipToBuffer,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,398,424,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
13,1b3534d34062,S_PlayFMV,SPEC_PSXPC_N,SPEC_PSXPC_N/MOVIE.C,6,68,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,1b3534d34062,main,SPEC_PSXPC_N,SPEC_PSXPC_N/PSXMAIN.C,42,125,14,source-with-calls,no,no,no,callsite-map-not-yet-gated
