rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,1b3534d34062,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,76,ProfileRGB,profiling-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
2,1b3534d34062,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,77,ProfileAddOT,profiling-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,1b3534d34062,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,87,ProfileAddDrawOT,profiling-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,1b3534d34062,GPU_FlipNoIdle,SPEC_PSX,SPEC_PSX/GPU.C,114,ProfileStartCount,profiling-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,325,GPU_UseOrderingTables,gpu-display-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,337,game_malloc,memory-allocation-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,343,FILE_Read,load-file-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,349,DEL_CDFS_OpenFile,load-file-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,353,DEL_CDFS_Read,load-file-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,356,DEL_CDFS_OpenFile,load-file-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,1b3534d34062,LOAD_Start,SPEC_PSX,SPEC_PSX/LOAD_LEV.C,359,DEL_CDFS_Seek,load-file-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
