rank,candidate_id,context_kind,source_symbol,source_module,source_file,runtime_callee_bridge_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,a01f47cb95a4,callee,GetFloor,GAME,GAME/CONTROL.C,floor-height-callee,floor-height-query,no,no,no,mapped-context-not-direct-candidate-proof
2,a01f47cb95a4,callee,GetHeight,GAME,GAME/CONTROL.C,floor-height-callee,floor-height-query,no,no,no,mapped-context-not-direct-candidate-proof
3,a01f47cb95a4,callee,SoundEffect,GAME,GAME/EFFECTS.C,effects-callee,effects-spark,no,no,no,mapped-context-not-direct-candidate-proof
4,a01f47cb95a4,callee,ItemNewRoom,GAME,GAME/ITEMS.C,item-room-callee,item-room-runtime,no,no,no,mapped-context-not-direct-candidate-proof
5,a01f47cb95a4,callee,KillItem,GAME,GAME/ITEMS.C,item-room-callee,item-room-runtime,no,no,no,mapped-context-not-direct-candidate-proof
6,a01f47cb95a4,callee,RemoveActiveItem,GAME,GAME/ITEMS.C,item-room-callee,item-room-runtime,no,no,no,mapped-context-not-direct-candidate-proof
7,a01f47cb95a4,callee,GetFreeSpark,GAME,GAME/TOMB4FX.C,effects-callee,effects-spark,no,no,no,mapped-context-not-direct-candidate-proof
8,a01f47cb95a4,callee,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,audio-cd-callee,audio-cd-service,no,no,no,mapped-context-not-direct-candidate-proof
9,a01f47cb95a4,callee,S_CDPlay,SPEC_PSXPC,SPEC_PSXPC/CD.C,audio-cd-callee,audio-cd-service,no,no,no,mapped-context-not-direct-candidate-proof
10,a01f47cb95a4,callee,S_CDPlay,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,audio-cd-callee,audio-cd-service,no,no,no,mapped-context-not-direct-candidate-proof
11,a01f47cb95a4,callee,GetHeight,SPEC_PSXPC_N,SPEC_PSXPC_N/GETSTUFF.C,floor-height-callee,floor-height-query,no,no,no,mapped-context-not-direct-candidate-proof
