rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,a01f47cb95a4,GetFloor,GAME,GAME/CONTROL.C,784,820,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,a01f47cb95a4,GetHeight,GAME,GAME/CONTROL.C,3428,3694,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
3,a01f47cb95a4,SoundEffect,GAME,GAME/EFFECTS.C,625,629,0,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
4,a01f47cb95a4,ItemNewRoom,GAME,GAME/ITEMS.C,440,478,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
5,a01f47cb95a4,KillItem,GAME,GAME/ITEMS.C,347,415,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
6,a01f47cb95a4,RemoveActiveItem,GAME,GAME/ITEMS.C,199,222,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
7,a01f47cb95a4,GetFreeSpark,GAME,GAME/TOMB4FX.C,275,324,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
8,a01f47cb95a4,S_CDPlay,SPEC_PSX,SPEC_PSX/CD.C,261,292,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
9,a01f47cb95a4,S_CDPlay,SPEC_PSXPC,SPEC_PSXPC/CD.C,245,276,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
10,a01f47cb95a4,S_CDPlay,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,267,298,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
11,a01f47cb95a4,GetHeight,SPEC_PSXPC_N,SPEC_PSXPC_N/GETSTUFF.C,689,961,0,source-no-callsite,no,no,no,callsite-map-not-yet-gated
