rank,candidate_id,context_kind,source_symbol,source_module,source_file,dynamic_lighting_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f5d0099b5511,caller,andrea2_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
2,f5d0099b5511,caller,andy10_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
3,f5d0099b5511,caller,andy2_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
4,f5d0099b5511,caller,andy5_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
5,f5d0099b5511,caller,andy6_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
6,f5d0099b5511,caller,joby7_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
7,f5d0099b5511,caller,joby8_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
8,f5d0099b5511,caller,monk2_control,GAME,GAME/DELTAPAK.C,creature-control-context,creature-control,no,no,no,mapped-context-not-direct-candidate-proof
9,f5d0099b5511,caller,trigger_weapon_dynamics,GAME,GAME/DELTAPAK.C,weapon-dynamics-context,weapon-dynamics,no,no,no,mapped-context-not-direct-candidate-proof
10,f5d0099b5511,caller,DoFlameTorch,GAME,GAME/FLMTORCH.C,torch-flare-lighting-context,torch-flare-lighting,no,no,no,mapped-context-not-direct-candidate-proof
11,f5d0099b5511,caller,FlameTorchControl,GAME,GAME/FLMTORCH.C,torch-flare-lighting-context,torch-flare-lighting,no,no,no,mapped-context-not-direct-candidate-proof
12,f5d0099b5511,caller,DoFlareLight,GAME,GAME/LARAFLAR.C,torch-flare-lighting-context,torch-flare-lighting,no,no,no,mapped-context-not-direct-candidate-proof
13,f5d0099b5511,caller,lara_as_swimcheat,GAME,GAME/LARASWIM.C,lara-runtime-context,lara-runtime,no,no,no,mapped-context-not-direct-candidate-proof
14,f5d0099b5511,caller,ControlBlinker,GAME,GAME/OBJLIGHT.C,selected-lighting-control-caller,dynamic-lighting-control,no,no,no,mapped-context-not-direct-candidate-proof
15,f5d0099b5511,caller,ControlColouredLight,GAME,GAME/OBJLIGHT.C,selected-lighting-control-caller,dynamic-lighting-control,no,no,no,mapped-context-not-direct-candidate-proof
16,f5d0099b5511,caller,ControlElectricalLight,GAME,GAME/OBJLIGHT.C,selected-lighting-control-caller,dynamic-lighting-control,no,no,no,mapped-context-not-direct-candidate-proof
17,f5d0099b5511,caller,ControlPulseLight,GAME,GAME/OBJLIGHT.C,selected-lighting-control-caller,dynamic-lighting-control,no,no,no,mapped-context-not-direct-candidate-proof
18,f5d0099b5511,caller,ControlStrobeLight,GAME,GAME/OBJLIGHT.C,selected-lighting-control-caller,dynamic-lighting-control,no,no,no,mapped-context-not-direct-candidate-proof
19,f5d0099b5511,caller,TriggerAlertLight,GAME,GAME/OBJLIGHT.C,alert-light-context,alert-light,no,no,no,mapped-context-not-direct-candidate-proof
20,f5d0099b5511,caller,FlameControl,GAME,GAME/TRAPS.C,flame-emitter-context,flame-emitter,no,no,no,mapped-context-not-direct-candidate-proof
21,f5d0099b5511,caller,FlameEmitter2Control,GAME,GAME/TRAPS.C,flame-emitter-context,flame-emitter,no,no,no,mapped-context-not-direct-candidate-proof
22,f5d0099b5511,caller,FlameEmitter3Control,GAME,GAME/TRAPS.C,flame-emitter-context,flame-emitter,no,no,no,mapped-context-not-direct-candidate-proof
23,f5d0099b5511,caller,FlameEmitterControl,GAME,GAME/TRAPS.C,flame-emitter-context,flame-emitter,no,no,no,mapped-context-not-direct-candidate-proof
