rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f5d0099b5511,andrea2_control,GAME,GAME/DELTAPAK.C,1891,1894,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
2,f5d0099b5511,andy10_control,GAME,GAME/DELTAPAK.C,907,958,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2072,2090,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1434,1484,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1219,1243,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,831,880,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,f5d0099b5511,joby8_control,GAME,GAME/DELTAPAK.C,1256,1381,29,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,f5d0099b5511,monk2_control,GAME,GAME/DELTAPAK.C,722,773,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,f5d0099b5511,trigger_weapon_dynamics,GAME,GAME/DELTAPAK.C,3397,3411,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
10,f5d0099b5511,DoFlameTorch,GAME,GAME/FLMTORCH.C,54,57,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
11,f5d0099b5511,FlameTorchControl,GAME,GAME/FLMTORCH.C,30,33,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
12,f5d0099b5511,DoFlareLight,GAME,GAME/LARAFLAR.C,174,245,13,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,f5d0099b5511,lara_as_swimcheat,GAME,GAME/LARASWIM.C,363,413,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,f5d0099b5511,ControlBlinker,GAME,GAME/OBJLIGHT.C,109,146,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,f5d0099b5511,ControlColouredLight,GAME,GAME/OBJLIGHT.C,85,102,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,f5d0099b5511,ControlElectricalLight,GAME,GAME/OBJLIGHT.C,104,107,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
17,f5d0099b5511,ControlPulseLight,GAME,GAME/OBJLIGHT.C,57,83,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,f5d0099b5511,ControlStrobeLight,GAME,GAME/OBJLIGHT.C,22,55,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
19,f5d0099b5511,TriggerAlertLight,GAME,GAME/OBJLIGHT.C,17,20,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
20,f5d0099b5511,FlameControl,GAME,GAME/TRAPS.C,383,445,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
21,f5d0099b5511,FlameEmitter2Control,GAME,GAME/TRAPS.C,323,375,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
22,f5d0099b5511,FlameEmitter3Control,GAME,GAME/TRAPS.C,377,381,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
23,f5d0099b5511,FlameEmitterControl,GAME,GAME/TRAPS.C,317,321,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
