rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f5d0099b5511,andrea2_control,GAME,GAME/DELTAPAK.C,1893,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,f5d0099b5511,andy10_control,GAME,GAME/DELTAPAK.C,912,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
3,f5d0099b5511,andy10_control,GAME,GAME/DELTAPAK.C,932,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
4,f5d0099b5511,andy10_control,GAME,GAME/DELTAPAK.C,957,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2080,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2081,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2082,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2083,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2084,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2085,DelTorchFlames,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2087,handle_lara_chatting,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,f5d0099b5511,andy2_control,GAME,GAME/DELTAPAK.C,2088,handle_actor_chatting,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
13,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1475,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1476,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
15,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1480,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1483,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1483,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,f5d0099b5511,andy5_control,GAME,GAME/DELTAPAK.C,1483,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
19,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1234,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1235,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1236,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1237,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1238,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
24,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1239,DelTorchFlames,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1240,handle_lara_chatting,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,f5d0099b5511,andy6_control,GAME,GAME/DELTAPAK.C,1241,handle_actor_chatting,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,848,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,849,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,856,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,859,IsRoomOutside,room-floor-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
31,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,864,TriggerExplosionBubble,effects-lighting-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
32,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,865,TriggerExplosionSparks,effects-lighting-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
33,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,866,TriggerExplosionSparks,effects-lighting-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
34,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,871,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
35,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,875,GetActorJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
36,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,876,LaraTorch,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
37,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,877,TriggerEngineEffects_CUT,effects-lighting-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
38,f5d0099b5511,joby7_control,GAME,GAME/DELTAPAK.C,878,handle_actor_chatting,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
39,f5d0099b5511,joby8_control,GAME,GAME/DELTAPAK.C,1285,GetHeight,room-floor-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
40,f5d0099b5511,joby8_control,GAME,GAME/DELTAPAK.C,1285,GetFloor,room-floor-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
41,f5d0099b5511,joby8_control,GAME,GAME/DELTAPAK.C,1286,TestTriggers,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
