rank,previous_candidate_id,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,f5d0099b5511,3a208e2bf745,GenericSphereBoxCollision,GAME,GAME/COLLIDE.C,101,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,f5d0099b5511,3a208e2bf745,DoorControl,GAME,GAME/DOOR.C,233,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
3,f5d0099b5511,3a208e2bf745,ControlSmokeEmitter,GAME,GAME/EFFECT2.C,53,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
4,f5d0099b5511,3a208e2bf745,ControlWaterfall,GAME,GAME/OBJECTS.C,235,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
5,f5d0099b5511,3a208e2bf745,ControlWaterfall,GAME,GAME/OBJECTS.C,243,SoundEffect,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
6,f5d0099b5511,3a208e2bf745,ControlWaterfall,GAME,GAME/OBJECTS.C,247,SoundEffect,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
7,f5d0099b5511,3a208e2bf745,ControlBlinker,GAME,GAME/OBJLIGHT.C,119,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
8,f5d0099b5511,3a208e2bf745,ControlBlinker,GAME,GAME/OBJLIGHT.C,127,GetJointAbsPosition,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
9,f5d0099b5511,3a208e2bf745,ControlBlinker,GAME,GAME/OBJLIGHT.C,133,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
10,f5d0099b5511,3a208e2bf745,ControlColouredLight,GAME,GAME/OBJLIGHT.C,94,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
11,f5d0099b5511,3a208e2bf745,ControlColouredLight,GAME,GAME/OBJLIGHT.C,101,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
12,f5d0099b5511,3a208e2bf745,ControlElectricalLight,GAME,GAME/OBJLIGHT.C,106,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
13,f5d0099b5511,3a208e2bf745,ControlPulseLight,GAME,GAME/OBJLIGHT.C,67,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
14,f5d0099b5511,3a208e2bf745,ControlPulseLight,GAME,GAME/OBJLIGHT.C,82,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
