rank,candidate_id,context_kind,source_symbol,source_module,source_file,explosion_flare_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,87d9c8a62335,caller,CalculateCamera,GAME,GAME/CAMERA.C,camera-prioritization-context,camera-context,no,no,no,mapped-context-not-direct-candidate-proof
2,87d9c8a62335,caller,UpdateCameraElevation,GAME,GAME/CAMERA.C,camera-prioritization-context,camera-context,no,no,no,mapped-context-not-direct-candidate-proof
3,87d9c8a62335,caller,TestForObjectOnLedge,GAME,GAME/COLLIDE.C,collision-effect-context,collision-effect-context,no,no,no,mapped-context-not-direct-candidate-proof
4,87d9c8a62335,caller,TriggerLaraBlood,GAME,GAME/COLLIDE.C,collision-effect-context,collision-effect-context,no,no,no,mapped-context-not-direct-candidate-proof
5,87d9c8a62335,caller,CutLaraBubbles,GAME,GAME/DELTAPAK.C,bubble-effect-context,bubble-effect,no,no,no,mapped-context-not-direct-candidate-proof
6,87d9c8a62335,caller,cossack_control,GAME,GAME/DELTAPAK.C,entity-control-context,entity-control-context,no,no,no,mapped-context-not-direct-candidate-proof
7,87d9c8a62335,caller,joby8_control,GAME,GAME/DELTAPAK.C,entity-control-context,entity-control-context,no,no,no,mapped-context-not-direct-candidate-proof
8,87d9c8a62335,caller,trigger_weapon_dynamics,GAME,GAME/DELTAPAK.C,weapon-dynamics-context,weapon-dynamics,no,no,no,mapped-context-not-direct-candidate-proof
9,87d9c8a62335,caller,DoFlameTorch,GAME,GAME/FLMTORCH.C,selected-flame-explosion-caller,flame-explosion-effect,no,no,no,mapped-context-not-direct-candidate-proof
10,87d9c8a62335,caller,SetLaraUnderwaterNodes,GAME,GAME/LARA.C,lara-runtime-context,lara-runtime,no,no,no,mapped-context-not-direct-candidate-proof
11,87d9c8a62335,caller,lara_as_trfall,GAME,GAME/LARA.C,lara-runtime-context,lara-runtime,no,no,no,mapped-context-not-direct-candidate-proof
12,87d9c8a62335,caller,FireShotgun,GAME,GAME/LARA1GUN.C,weapon-dynamics-context,weapon-dynamics,no,no,no,mapped-context-not-direct-candidate-proof
13,87d9c8a62335,caller,FireWeapon,GAME,GAME/LARAFIRE.C,weapon-dynamics-context,weapon-dynamics,no,no,no,mapped-context-not-direct-candidate-proof
14,87d9c8a62335,caller,LaraTargetInfo,GAME,GAME/LARAFIRE.C,weapon-dynamics-context,weapon-dynamics,no,no,no,mapped-context-not-direct-candidate-proof
15,87d9c8a62335,caller,CreateFlare,GAME,GAME/LARAFLAR.C,selected-flare-service-caller,flare-service,no,no,no,mapped-context-not-direct-candidate-proof
16,87d9c8a62335,caller,DoFlareInHand,GAME,GAME/LARAFLAR.C,selected-flare-service-caller,flare-service,no,no,no,mapped-context-not-direct-candidate-proof
17,87d9c8a62335,caller,ControlExplosion,GAME,GAME/TRAPS.C,selected-flame-explosion-caller,flame-explosion-effect,no,no,no,mapped-context-not-direct-candidate-proof
18,87d9c8a62335,caller,FlameControl,GAME,GAME/TRAPS.C,selected-flame-explosion-caller,flame-explosion-effect,no,no,no,mapped-context-not-direct-candidate-proof
