rank,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1196,BinocularCamera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
2,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1225,CDDA_SetMasterVolume,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
3,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1248,SoundEffect,runtime-effect-support,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
4,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1253,CDDA_SetMasterVolume,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
5,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1267,CDDA_SetMasterVolume,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
6,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1279,do_new_cutscene_camera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
7,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1308,GetBoundsAccurate,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
8,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1314,mSqrt,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
9,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1315,phd_atan_asm,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
10,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1318,GetBoundsAccurate,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
11,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1319,phd_atan_asm,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
12,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1329,S_Warn,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
13,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1446,LookCamera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
14,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1450,CombatCamera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
15,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1479,GetLaraJointPos,joint-position-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
16,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1498,ConfirmCameraTargetPos,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
17,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1532,GetFloor,room-floor-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
18,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1558,ChaseCamera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
19,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1562,FixedCamera,audio-camera-helper,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
20,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1590,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
21,87d9c8a62335,UpdateCameraElevation,GAME,GAME/CAMERA.C,1958,GetLaraJointPos,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,87d9c8a62335,UpdateCameraElevation,GAME,GAME/CAMERA.C,1963,GetLaraJointPos,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,87d9c8a62335,UpdateCameraElevation,GAME,GAME/CAMERA.C,1967,phd_atan_asm,audio-camera-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
24,87d9c8a62335,TestForObjectOnLedge,GAME,GAME/COLLIDE.C,63,GetLaraJointPos,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
25,87d9c8a62335,TestForObjectOnLedge,GAME,GAME/COLLIDE.C,70,LOS,runtime-effect-support,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
26,87d9c8a62335,TestForObjectOnLedge,GAME,GAME/COLLIDE.C,71,ObjectOnLOS2,runtime-effect-support,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
27,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,87,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
28,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,88,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,89,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,91,GetLaraJointPos,joint-position-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
31,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,92,DoBloodSplat,explosion-flare-effect-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
32,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,92,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
33,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,92,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
