rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,b6d128932004,MoveCamera,GAME,GAME/CAMERA.C,2244,2478,10,source-with-calls,no,no,no,callsite-map-not-yet-gated
2,b6d128932004,TriggerLaraBlood,GAME,GAME/COLLIDE.C,78,97,7,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,b6d128932004,ShatterObject,GAME,GAME/DEBRIS.C,54,57,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
4,b6d128932004,TriggerDebris,GAME,GAME/DEBRIS.C,49,52,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
5,b6d128932004,CutLaraBubbles,GAME,GAME/DELTAPAK.C,652,677,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,b6d128932004,DelTorchFlames,GAME,GAME/DELTAPAK.C,1992,2059,26,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,b6d128932004,TriggerDelBrownSmoke,GAME,GAME/DELTAPAK.C,1060,1094,13,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,b6d128932004,TriggerDelSmoke,GAME,GAME/DELTAPAK.C,2250,2290,13,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,b6d128932004,andrea2_control,GAME,GAME/DELTAPAK.C,1891,1894,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,b6d128932004,andy2_control,GAME,GAME/DELTAPAK.C,2072,2090,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,b6d128932004,andy5_control,GAME,GAME/DELTAPAK.C,1434,1484,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,b6d128932004,andy6_control,GAME,GAME/DELTAPAK.C,1219,1243,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,b6d128932004,handle_actor_chatting,GAME,GAME/DELTAPAK.C,2974,3008,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
14,b6d128932004,handle_lara_chatting,GAME,GAME/DELTAPAK.C,3010,3041,1,source-with-calls,no,no,no,callsite-map-not-yet-gated
15,b6d128932004,joby8_control,GAME,GAME/DELTAPAK.C,1256,1381,29,source-with-calls,no,no,no,callsite-map-not-yet-gated
16,b6d128932004,monk2_control,GAME,GAME/DELTAPAK.C,722,773,5,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,b6d128932004,trigger_weapon_dynamics,GAME,GAME/DELTAPAK.C,3397,3411,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
18,b6d128932004,ControlEnemyMissile,GAME,GAME/EFFECT2.C,46,49,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
19,b6d128932004,ControlSmokeEmitter,GAME,GAME/EFFECT2.C,51,54,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
20,b6d128932004,TriggerDartSmoke,GAME,GAME/EFFECT2.C,66,69,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
21,b6d128932004,TriggerGunSmoke,GAME,GAME/EFFECT2.C,188,263,18,source-with-calls,no,no,no,callsite-map-not-yet-gated
22,b6d128932004,TriggerSuperJetFlame,GAME,GAME/EFFECT2.C,76,153,18,source-with-calls,no,no,no,callsite-map-not-yet-gated
23,b6d128932004,TriggerWaterfallMist,GAME,GAME/EFFECT2.C,71,74,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
24,b6d128932004,DoFlameTorch,GAME,GAME/FLMTORCH.C,54,57,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
25,b6d128932004,FlameTorchControl,GAME,GAME/FLMTORCH.C,30,33,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
26,b6d128932004,TriggerTorchFlame,GAME,GAME/FLMTORCH.C,64,114,18,source-with-calls,no,no,no,callsite-map-not-yet-gated
