rank,candidate_id,context_kind,source_symbol,source_module,source_file,combat_camera_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,0aaa76206517,caller,ChaseCamera,GAME,GAME/CAMERA.C,camera-service-caller-context,camera-service,no,no,no,mapped-context-not-direct-candidate-proof
2,0aaa76206517,caller,CombatCamera,GAME,GAME/CAMERA.C,camera-service-caller-context,camera-service,no,no,no,mapped-context-not-direct-candidate-proof
3,0aaa76206517,caller,ConfirmCameraTargetPos,GAME,GAME/CAMERA.C,camera-service-caller-context,camera-service,no,no,no,mapped-context-not-direct-candidate-proof
4,0aaa76206517,caller,MoveCamera,GAME,GAME/CAMERA.C,camera-service-caller-context,camera-service,no,no,no,mapped-context-not-direct-candidate-proof
5,0aaa76206517,caller,IsRoomOutside,GAME,GAME/CONTROL.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
6,0aaa76206517,caller,ControlEnemyMissile,GAME,GAME/EFFECT2.C,missile-service-caller-context,missile-service,no,no,no,mapped-context-not-direct-candidate-proof
7,0aaa76206517,caller,LaraCeilingFront,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
8,0aaa76206517,caller,MonkeySwingSnap,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
9,0aaa76206517,caller,TestHangSwingIn,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
10,0aaa76206517,caller,TestWall,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
11,0aaa76206517,caller,lara_col_polestat,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
12,0aaa76206517,caller,lara_col_poleup,GAME,GAME/LARA.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
13,0aaa76206517,caller,LaraTestClimb,GAME,GAME/LARACLMB.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
14,0aaa76206517,caller,LaraTestClimbUpPos,GAME,GAME/LARACLMB.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
15,0aaa76206517,caller,DoProperDetection,GAME,GAME/LARAFIRE.C,detection-service-caller-context,detection-service,no,no,no,mapped-context-not-direct-candidate-proof
16,0aaa76206517,caller,ControlBodyPart,GAME,GAME/MISSILE.C,bodypart-service-caller-context,bodypart-service,no,no,no,mapped-context-not-direct-candidate-proof
17,0aaa76206517,caller,GetCollisionInfo,SPEC_PSXPC_N,SPEC_PSXPC_N/COLLIDE_S.C,other-caller-context,other,no,no,no,mapped-context-not-direct-candidate-proof
