rank,candidate_id,caller_symbol,source_file,source_line_number,callee_symbol,callsite_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized
1,0aaa76206517,ChaseCamera,GAME/CAMERA.C,77,angle,combat-camera-context,no,no,no
2,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1108,InitialiseCamera,combat-camera-context,no,no,no
3,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1110,SECTOR,combat-camera-context,no,no,no
4,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1115,SECTOR,combat-camera-context,no,no,no
5,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1118,SECTOR,combat-camera-context,no,no,no
6,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1121,SECTOR,combat-camera-context,no,no,no
7,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1124,SECTOR,combat-camera-context,no,no,no
8,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1136,AlterFOV,combat-camera-context,no,no,no
9,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1136,ANGLE,combat-camera-context,no,no,no
10,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1138,CalculateCamera,combat-camera-context,no,no,no
11,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1143,AlterFOV,combat-camera-context,no,no,no
12,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1148,COS,combat-camera-context,no,no,no
13,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1148,SIN,combat-camera-context,no,no,no
14,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1157,COS,combat-camera-context,no,no,no
15,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1157,SIN,combat-camera-context,no,no,no
16,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1161,gte_SetGeomScreen,combat-camera-context,no,no,no
17,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1167,CalculateCamera,combat-camera-context,no,no,no
18,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1170,Log,combat-camera-context,no,no,no
19,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1196,BinocularCamera,combat-camera-context,no,no,no
20,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1225,CDDA_SetMasterVolume,combat-camera-context,no,no,no
21,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1248,SoundEffect,combat-camera-context,no,no,no
22,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1253,CDDA_SetMasterVolume,combat-camera-context,no,no,no
23,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1267,CDDA_SetMasterVolume,combat-camera-context,no,no,no
24,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1279,do_new_cutscene_camera,combat-camera-context,no,no,no
25,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1308,GetBoundsAccurate,combat-camera-context,no,no,no
26,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1314,mSqrt,combat-camera-context,no,no,no
27,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1315,phd_atan_asm,combat-camera-context,no,no,no
28,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1318,GetBoundsAccurate,combat-camera-context,no,no,no
29,0aaa76206517,ChaseCamera,GAME/CAMERA.C,1319,phd_atan_asm,combat-camera-context,no,no,no
