rank,candidate_id,caller_symbol,source_file,function_status,source_backed_callsite_count
1,0aaa76206517,ChaseCamera,GAME/CAMERA.C,source-with-calls,146
2,0aaa76206517,CombatCamera,GAME/CAMERA.C,source-with-calls,146
3,0aaa76206517,ConfirmCameraTargetPos,GAME/CAMERA.C,source-with-calls,146
4,0aaa76206517,MoveCamera,GAME/CAMERA.C,source-with-calls,146
5,0aaa76206517,IsRoomOutside,GAME/CONTROL.C,source-with-calls,416
6,0aaa76206517,ControlEnemyMissile,GAME/EFFECT2.C,source-with-calls,125
7,0aaa76206517,LaraCeilingFront,GAME/LARA.C,source-with-calls,864
8,0aaa76206517,MonkeySwingSnap,GAME/LARA.C,source-with-calls,864
9,0aaa76206517,TestHangSwingIn,GAME/LARA.C,source-with-calls,864
10,0aaa76206517,TestWall,GAME/LARA.C,source-with-calls,864
11,0aaa76206517,lara_col_polestat,GAME/LARA.C,source-with-calls,864
12,0aaa76206517,lara_col_poleup,GAME/LARA.C,source-with-calls,864
13,0aaa76206517,LaraTestClimb,GAME/LARACLMB.C,source-with-calls,92
14,0aaa76206517,LaraTestClimbUpPos,GAME/LARACLMB.C,source-with-calls,92
15,0aaa76206517,DoProperDetection,GAME/LARAFIRE.C,source-with-calls,115
16,0aaa76206517,ControlBodyPart,GAME/MISSILE.C,source-with-calls,26
17,0aaa76206517,GetCollisionInfo,SPEC_PSXPC_N/COLLIDE_S.C,source-with-calls,40
