priority_rank,cluster_id,primary_class,member_count,internal_edge_count,mapped_inbound_count,mapped_outbound_count,reconciliation_status,confidence,recommended_next_proof,code_change_readiness
1,cluster-001,isolated,1,0,0,1,none,medium,metadata identity and caller/callee absence check,blocked
2,cluster-002,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
3,cluster-003,isolated,1,0,0,3,none,medium,metadata identity and caller/callee absence check,blocked
4,cluster-004,isolated,1,0,0,1,none,medium,metadata identity and caller/callee absence check,blocked
5,cluster-005,isolated,1,0,1,1,none,medium,metadata identity and caller/callee absence check,blocked
6,cluster-006,isolated,1,0,0,1,none,medium,metadata identity and caller/callee absence check,blocked
7,cluster-007,isolated,1,0,1,1,none,medium,metadata identity and caller/callee absence check,blocked
8,cluster-008,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
9,cluster-009,isolated,1,0,0,1,none,medium,metadata identity and caller/callee absence check,blocked
10,cluster-010,isolated,1,0,1,1,none,medium,metadata identity and caller/callee absence check,blocked
11,cluster-011,isolated,1,0,6,1,none,medium,metadata identity and caller/callee absence check,blocked
12,cluster-012,isolated,1,0,0,4,none,medium,metadata identity and caller/callee absence check,blocked
13,cluster-013,isolated,1,0,1,1,none,medium,metadata identity and caller/callee absence check,blocked
14,cluster-014,isolated,1,0,3,1,none,medium,metadata identity and caller/callee absence check,blocked
15,cluster-015,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
16,cluster-016,isolated,1,0,4,0,none,medium,metadata identity and caller/callee absence check,blocked
17,cluster-017,isolated,1,0,1,1,none,medium,metadata identity and caller/callee absence check,blocked
18,cluster-018,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
19,cluster-019,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
20,cluster-020,isolated,1,0,5,0,none,medium,metadata identity and caller/callee absence check,blocked
21,cluster-021,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
22,cluster-022,isolated,1,0,3,0,none,medium,metadata identity and caller/callee absence check,blocked
23,cluster-023,isolated,1,0,3,0,none,medium,metadata identity and caller/callee absence check,blocked
24,cluster-024,isolated,1,0,2,0,none,medium,metadata identity and caller/callee absence check,blocked
25,cluster-025,isolated,1,0,1,0,none,medium,metadata identity and caller/callee absence check,blocked
