priority_rank,cluster_id,member_count,exposure_class,reconciliation_status,identity_proof_status,recommended_next_proof,code_change_readiness
1,cluster-001,1,caller-exposed,none,absent,source-backed boundary family map,blocked
2,cluster-002,1,callee-exposed,none,absent,source-backed boundary family map,blocked
3,cluster-003,1,caller-exposed,none,absent,source-backed boundary family map,blocked
4,cluster-004,1,caller-exposed,none,absent,source-backed boundary family map,blocked
5,cluster-005,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
6,cluster-006,1,caller-exposed,none,absent,source-backed boundary family map,blocked
7,cluster-007,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
8,cluster-008,1,callee-exposed,none,absent,source-backed boundary family map,blocked
9,cluster-009,1,caller-exposed,none,absent,source-backed boundary family map,blocked
10,cluster-010,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
11,cluster-011,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
12,cluster-012,1,caller-exposed,none,absent,source-backed boundary family map,blocked
13,cluster-013,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
14,cluster-014,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
15,cluster-015,1,callee-exposed,none,absent,source-backed boundary family map,blocked
16,cluster-016,1,callee-exposed,none,absent,source-backed boundary family map,blocked
17,cluster-017,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
18,cluster-018,1,callee-exposed,none,absent,source-backed boundary family map,blocked
19,cluster-019,1,callee-exposed,none,absent,source-backed boundary family map,blocked
20,cluster-020,1,callee-exposed,none,absent,source-backed boundary family map,blocked
21,cluster-021,1,callee-exposed,none,absent,source-backed boundary family map,blocked
22,cluster-022,1,callee-exposed,none,absent,source-backed boundary family map,blocked
23,cluster-023,1,callee-exposed,none,absent,source-backed boundary family map,blocked
24,cluster-024,1,callee-exposed,none,absent,source-backed boundary family map,blocked
25,cluster-025,1,callee-exposed,none,absent,source-backed boundary family map,blocked
26,cluster-026,1,callee-exposed,none,absent,source-backed boundary family map,blocked
27,cluster-027,1,callee-exposed,none,absent,source-backed boundary family map,blocked
28,cluster-028,1,callee-exposed,none,absent,source-backed boundary family map,blocked
29,cluster-029,1,callee-exposed,none,absent,source-backed boundary family map,blocked
30,cluster-030,1,callee-exposed,none,absent,source-backed boundary family map,blocked
31,cluster-031,1,callee-exposed,none,absent,source-backed boundary family map,blocked
32,cluster-032,1,unconnected,none,absent,identity evidence acquisition,blocked
33,cluster-033,1,callee-exposed,none,absent,source-backed boundary family map,blocked
34,cluster-034,1,callee-exposed,none,absent,source-backed boundary family map,blocked
35,cluster-035,1,callee-exposed,none,absent,source-backed boundary family map,blocked
36,cluster-036,1,callee-exposed,none,absent,source-backed boundary family map,blocked
37,cluster-037,1,callee-exposed,none,absent,source-backed boundary family map,blocked
38,cluster-038,1,callee-exposed,none,absent,source-backed boundary family map,blocked
39,cluster-039,1,callee-exposed,none,absent,source-backed boundary family map,blocked
40,cluster-040,1,callee-exposed,none,absent,source-backed boundary family map,blocked
41,cluster-041,1,unconnected,none,absent,identity evidence acquisition,blocked
42,cluster-042,1,callee-exposed,none,absent,source-backed boundary family map,blocked
43,cluster-043,1,callee-exposed,none,absent,source-backed boundary family map,blocked
44,cluster-044,1,callee-exposed,none,absent,source-backed boundary family map,blocked
45,cluster-045,1,callee-exposed,none,absent,source-backed boundary family map,blocked
46,cluster-046,1,callee-exposed,none,absent,source-backed boundary family map,blocked
47,cluster-047,1,callee-exposed,none,absent,source-backed boundary family map,blocked
48,cluster-048,1,callee-exposed,none,absent,source-backed boundary family map,blocked
49,cluster-049,1,callee-exposed,none,absent,source-backed boundary family map,blocked
50,cluster-050,1,callee-exposed,none,absent,source-backed boundary family map,blocked
51,cluster-051,1,callee-exposed,none,absent,source-backed boundary family map,blocked
52,cluster-052,1,unconnected,none,absent,identity evidence acquisition,blocked
53,cluster-053,1,callee-exposed,none,absent,source-backed boundary family map,blocked
54,cluster-054,1,callee-exposed,none,absent,source-backed boundary family map,blocked
55,cluster-055,1,callee-exposed,none,absent,source-backed boundary family map,blocked
56,cluster-056,1,callee-exposed,none,absent,source-backed boundary family map,blocked
57,cluster-057,1,callee-exposed,none,absent,source-backed boundary family map,blocked
58,cluster-058,1,callee-exposed,none,absent,source-backed boundary family map,blocked
59,cluster-059,1,callee-exposed,none,absent,source-backed boundary family map,blocked
60,cluster-060,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
61,cluster-061,1,callee-exposed,none,absent,source-backed boundary family map,blocked
62,cluster-062,1,callee-exposed,none,absent,source-backed boundary family map,blocked
63,cluster-063,1,callee-exposed,none,absent,source-backed boundary family map,blocked
64,cluster-064,1,callee-exposed,none,absent,source-backed boundary family map,blocked
65,cluster-065,1,callee-exposed,none,absent,source-backed boundary family map,blocked
66,cluster-066,1,callee-exposed,none,absent,source-backed boundary family map,blocked
67,cluster-067,1,callee-exposed,none,absent,source-backed boundary family map,blocked
68,cluster-068,1,callee-exposed,none,absent,source-backed boundary family map,blocked
69,cluster-069,1,callee-exposed,none,absent,source-backed boundary family map,blocked
70,cluster-070,1,callee-exposed,none,absent,source-backed boundary family map,blocked
71,cluster-071,1,callee-exposed,none,absent,source-backed boundary family map,blocked
72,cluster-072,1,callee-exposed,none,absent,source-backed boundary family map,blocked
73,cluster-073,1,callee-exposed,none,absent,source-backed boundary family map,blocked
74,cluster-074,1,boundary-exposed,none,absent,source-backed boundary family map,blocked
75,cluster-075,1,callee-exposed,none,absent,source-backed boundary family map,blocked
