api_name,active_source_callsite_count,source_callsite_status,code_change_readiness,blocker
SpuClearReverbWorkArea,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuFlush,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetCommonMasterVolumeAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetCommonMasterVolumeX,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetIRQ,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetIRQAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetNoiseClock,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetNoiseVoice,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetReverbModeDelayTime,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetReverbModeFeedback,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetReverbModeParam,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetReverbModeType,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceADSR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceADSRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceAR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceARAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceDR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceEnvelope,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceEnvelopeAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceLoopStartAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceNote,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoicePitch,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceRR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceRRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceSL,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceSR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceSRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceSampleNote,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceStartAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceVolume,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuGetVoiceVolumeAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
