source_file,unimplemented_marker_count,source_behavior_proof_count,code_change_readiness
EMULATOR/EMULATOR.C,8,0,blocked
EMULATOR/LIBAPI.C,71,0,blocked
EMULATOR/LIBCD.C,1,0,blocked
EMULATOR/LIBGPU.C,7,0,blocked
EMULATOR/LIBGTE.C,1,0,blocked
EMULATOR/LIBMCRD.C,4,0,blocked
EMULATOR/LIBPAD.C,13,0,blocked
EMULATOR/LIBPRESS.C,5,0,blocked
EMULATOR/LIBSPU.C,4,0,blocked
GAME/BOX.C,8,0,blocked
GAME/CAMERA.C,6,0,blocked
GAME/CODEWAD.C,3,0,blocked
GAME/COLLIDE.C,10,0,blocked
GAME/CONTROL.C,9,0,blocked
GAME/DEBRIS.C,2,0,blocked
GAME/DELTAPAK.C,4,0,blocked
GAME/DOOR.C,7,0,blocked
GAME/DRAW.C,4,0,blocked
GAME/EFFECT2.C,10,0,blocked
GAME/EFFECTS.C,3,0,blocked
GAME/FLMTORCH.C,3,0,blocked
GAME/GAMEFLOW.C,1,0,blocked
GAME/LARA.C,8,0,blocked
GAME/LARA1GUN.C,4,0,blocked
GAME/LARA2GUN.C,2,0,blocked
GAME/LARACLMB.C,1,0,blocked
GAME/LARAFIRE.C,6,0,blocked
GAME/LARAFLAR.C,4,0,blocked
GAME/LARAMISC.C,2,0,blocked
GAME/LARASWIM.C,1,0,blocked
GAME/LOT.C,1,0,blocked
GAME/NEWINV2.C,3,0,blocked
GAME/OBJECTS.C,8,0,blocked
GAME/OBJLIGHT.C,2,0,blocked
GAME/PEOPLE.C,1,0,blocked
GAME/PICKUP.C,6,0,blocked
GAME/ROPE.C,1,0,blocked
GAME/SAVEGAME.C,1,0,blocked
GAME/SETUP.C,3,0,blocked
GAME/SWITCH.C,14,0,blocked
GAME/TOMB4FX.C,9,0,blocked
GAME/TRAPS.C,14,0,blocked
SPEC_PC_N/SPECIFIC.CPP,11,0,blocked
SPEC_PSX/DRAWSPKS.C,1,0,blocked
SPEC_PSXPC/BUBBLES.C,7,0,blocked
SPEC_PSXPC/DRAWPHAS.C,1,0,blocked
SPEC_PSXPC/DRAWSPKS.C,1,0,blocked
SPEC_PSXPC/FXTRIG.C,4,0,blocked
SPEC_PSXPC/GETSTUFF.C,2,0,blocked
SPEC_PSXPC/LIGHT.C,1,0,blocked
SPEC_PSXPC/MISC.C,6,0,blocked
SPEC_PSXPC/PROFILE.C,7,0,blocked
SPEC_PSXPC/SPECIFIC.C,1,0,blocked
SPEC_PSXPC/SPHERES.C,1,0,blocked
SPEC_PSXPC/TEXT_S.C,1,0,blocked
SPEC_PSXPC_N/BUBBLES.C,1,0,blocked
SPEC_PSXPC_N/DRAWOBJ.C,1,0,blocked
SPEC_PSXPC_N/DRAWSPKS.C,2,0,blocked
SPEC_PSXPC_N/FXTRIG.C,4,0,blocked
SPEC_PSXPC_N/GETSTUFF.C,2,0,blocked
SPEC_PSXPC_N/MATHS.C,11,0,blocked
SPEC_PSXPC_N/MISC.C,1,0,blocked
SPEC_PSXPC_N/ROOMLETB.C,1,0,blocked
SPEC_PSXPC_N/SFX.C,9,0,blocked
SPEC_PSXPC_N/SPHERES.C,1,0,blocked
SPEC_PSXPC_N/TITSEQ.C,2,0,blocked
