source_file,repo_function,unimplemented_marker_count,behavior_contract_status,code_change_readiness
EMULATOR/EMULATOR.C,Emulator_DestroyTexture,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_GenerateCommonTextures,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_Initialise,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_Ortho2D,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_SetBlendMode,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_SetRenderTarget,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_SetShader,1,missing,blocked
EMULATOR/EMULATOR.C,Emulator_SetTexture,1,missing,blocked
EMULATOR/LIBAPI.C,ChangeClearPAD,1,missing,blocked
EMULATOR/LIBAPI.C,ChangeTh,1,missing,blocked
EMULATOR/LIBAPI.C,CloseEvent,1,missing,blocked
EMULATOR/LIBAPI.C,CloseTh,1,missing,blocked
EMULATOR/LIBAPI.C,DeliverEvent,1,missing,blocked
EMULATOR/LIBAPI.C,DisableEvent,1,missing,blocked
EMULATOR/LIBAPI.C,DisablePAD,1,missing,blocked
EMULATOR/LIBAPI.C,EnableEvent,1,missing,blocked
EMULATOR/LIBAPI.C,EnablePAD,1,missing,blocked
EMULATOR/LIBAPI.C,EnterCriticalSection,1,missing,blocked
EMULATOR/LIBAPI.C,Exception,1,missing,blocked
EMULATOR/LIBAPI.C,Exec,1,missing,blocked
EMULATOR/LIBAPI.C,ExitCriticalSection,1,missing,blocked
EMULATOR/LIBAPI.C,FlushCache,1,missing,blocked
EMULATOR/LIBAPI.C,GetConf,1,missing,blocked
EMULATOR/LIBAPI.C,GetCr,1,missing,blocked
EMULATOR/LIBAPI.C,GetGp,1,missing,blocked
EMULATOR/LIBAPI.C,GetSr,1,missing,blocked
EMULATOR/LIBAPI.C,GetSysSp,1,missing,blocked
EMULATOR/LIBAPI.C,InitCARD,1,missing,blocked
EMULATOR/LIBAPI.C,InitPAD,1,missing,blocked
EMULATOR/LIBAPI.C,Krom2RawAdd,1,missing,blocked
EMULATOR/LIBAPI.C,Krom2RawAdd2,1,missing,blocked
EMULATOR/LIBAPI.C,Load,1,missing,blocked
EMULATOR/LIBAPI.C,LoadExec,1,missing,blocked
EMULATOR/LIBAPI.C,LoadTest,1,missing,blocked
EMULATOR/LIBAPI.C,OpenEvent,1,missing,blocked
EMULATOR/LIBAPI.C,OpenTh,1,missing,blocked
EMULATOR/LIBAPI.C,ReturnFromException,1,missing,blocked
EMULATOR/LIBAPI.C,SetConf,1,missing,blocked
EMULATOR/LIBAPI.C,SetMem,1,missing,blocked
EMULATOR/LIBAPI.C,StartCARD,1,missing,blocked
EMULATOR/LIBAPI.C,StartPAD,1,missing,blocked
EMULATOR/LIBAPI.C,StopCARD,1,missing,blocked
EMULATOR/LIBAPI.C,StopPAD,1,missing,blocked
EMULATOR/LIBAPI.C,SwEnterCriticalSection,1,missing,blocked
EMULATOR/LIBAPI.C,SwExitCriticalSection,1,missing,blocked
EMULATOR/LIBAPI.C,SystemError,1,missing,blocked
EMULATOR/LIBAPI.C,TestEvent,1,missing,blocked
EMULATOR/LIBAPI.C,UnDeliverEvent,1,missing,blocked
EMULATOR/LIBAPI.C,WaitEvent,1,missing,blocked
EMULATOR/LIBAPI.C,_96_init,1,missing,blocked
EMULATOR/LIBAPI.C,_96_remove,1,missing,blocked
EMULATOR/LIBAPI.C,_boot,1,missing,blocked
EMULATOR/LIBAPI.C,_bu_init,1,missing,blocked
EMULATOR/LIBAPI.C,_card_auto,1,missing,blocked
EMULATOR/LIBAPI.C,_card_chan,1,missing,blocked
EMULATOR/LIBAPI.C,_card_clear,1,missing,blocked
EMULATOR/LIBAPI.C,_card_format,1,missing,blocked
EMULATOR/LIBAPI.C,_card_info,1,missing,blocked
EMULATOR/LIBAPI.C,_card_load,1,missing,blocked
EMULATOR/LIBAPI.C,_card_read,1,missing,blocked
EMULATOR/LIBAPI.C,_card_status,1,missing,blocked
EMULATOR/LIBAPI.C,_card_wait,1,missing,blocked
EMULATOR/LIBAPI.C,_card_write,1,missing,blocked
EMULATOR/LIBAPI.C,_get_errno,1,missing,blocked
EMULATOR/LIBAPI.C,_get_error,1,missing,blocked
EMULATOR/LIBAPI.C,_new_card,1,missing,blocked
EMULATOR/LIBAPI.C,cd,1,missing,blocked
EMULATOR/LIBAPI.C,close,1,missing,blocked
EMULATOR/LIBAPI.C,erase,1,missing,blocked
EMULATOR/LIBAPI.C,firstfile,1,missing,blocked
EMULATOR/LIBAPI.C,format,1,missing,blocked
EMULATOR/LIBAPI.C,ioctl,1,missing,blocked
EMULATOR/LIBAPI.C,lseek,1,missing,blocked
EMULATOR/LIBAPI.C,nextfile,1,missing,blocked
EMULATOR/LIBAPI.C,open,1,missing,blocked
EMULATOR/LIBAPI.C,read,1,missing,blocked
EMULATOR/LIBAPI.C,rename,1,missing,blocked
EMULATOR/LIBAPI.C,undelete,1,missing,blocked
EMULATOR/LIBAPI.C,write,1,missing,blocked
EMULATOR/LIBCD.C,CdSync,1,missing,blocked
EMULATOR/LIBGPU.C,FntFlush,1,missing,blocked
EMULATOR/LIBGPU.C,FntPrint,1,missing,blocked
