final_psx_address,beta_psx_address,repo_function,file,line,markers,comment,mapping_status,ghidra_entry,ghidra_name,body_size,called_functions,callers,rename_candidate
0x80001054,0x80001054,sub_1054,SPEC_PSXPC_N/TITSEQ.C,738,<;<,1054(<) F98(<),repo_only,,,,,,
0x800019d8,0x800019d8,if,SPEC_PC_N/SPECIFIC.CPP,675,,19d8,repo_only,,,,,,
0x800019d8,0x800019d8,if,SPEC_PSXPC_N/MISC.C,470,,19d8,repo_only,,,,,,
0x80001a0c,0x80001a0c,if,SPEC_PSXPC_N/LARA4.C,243,,loc_1A0C,repo_only,,,,,,
0x80002098,0x80002154,sub_2154,SPEC_PSX/TITSEQ.C,806,<;<;F,2154(<) 2098(<) (F),repo_only,,,,,,
0x80002098,0x80002154,sub_2154,SPEC_PSXPC_N/TITSEQ.C,812,<;<;F,2154(<) 2098(<) (F),repo_only,,,,,,
0x800021a8,0x8000219c,TITSEQ_StoryBoardMenuControl,SPEC_PSX/TITSEQ.C,845,<;<;F,"219C(<), 21A8(<) (F)",repo_only,,,,,,
0x800021a8,0x8000219c,TITSEQ_StoryBoardMenuControl,SPEC_PSXPC_N/TITSEQ.C,851,<;<;F,"219C(<), 21A8(<) (F)",repo_only,,,,,,
0x800023c4,0x80002398,TITSEQ_ReadStoryboardImage,SPEC_PSX/TITSEQ.C,954,<;<;F,2398(<) 23C4(<) (F),repo_only,,,,,,
0x800023c4,0x80002398,TITSEQ_ReadStoryboardImage,SPEC_PSXPC_N/TITSEQ.C,960,<;<;F,2398(<) 23C4(<) (F),repo_only,,,,,,
0x80005de0,0x800b96ec,InitialiseObjects,GAME/SETUP.C,893,<;<,"?(<), B96EC(<) sub_5DE0",repo_only,,,,,,
0x80010000,0x80010000,VSyncFunc,SPEC_PSX/PSXMAIN.C,23,<;<;F;D;ND,"10000(<), 10000(<) (F) (D) (ND)",repo_only,,,,,,
0x80010000,0x80010000,VSyncFunc,SPEC_PSXPC/PSXPCMAIN.C,23,<;<;F;*,"10000(<), 10000(<) (F) (*)",repo_only,,,,,,
0x80010000,0x80010000,VSyncFunc,SPEC_PSXPC_N/PSXMAIN.C,26,<;<;F;*;D;ND,"10000(<), 10000(<) (F) (*) (D) (ND)",repo_only,,,,,,
0x80010064,0x80010064,main,SPEC_PSX/PSXMAIN.C,39,<;<;F;*;D;ND,"10064(<), 10064(<) (F) (*) (D) (ND)",mapped,0x80010064,FUN_80010064,512,FUN_80010fd8;FUN_8001169c;FUN_8005e240;FUN_8005e264;FUN_8005f1c8;FUN_8005f210;FUN_8005f4f8;FUN_8005ffb0;FUN_8006002c;FUN_800600a8;FUN_80062d34;FUN_80065c64;FUN_80066110;FUN_8006927c;FUN_8006a1fc;FUN_8006a42c;FUN_8006a4bc;FUN_8006ae84;FUN_8006af3c;FUN_8006af94;FUN_8006b0b8;FUN_8006b0e0;FUN_8006b144;FUN_8006b440;FUN_8006d32c;FUN_8006d998;FUN_8007381c;FUN_80073b9c;FUN_80073c68;FUN_800766fc;FUN_80094128,,yes
0x80010064,0x80010064,main,SPEC_PSXPC/PSXPCMAIN.C,39,<,"10064(<), 10064(!)",mapped,0x80010064,FUN_80010064,512,FUN_80010fd8;FUN_8001169c;FUN_8005e240;FUN_8005e264;FUN_8005f1c8;FUN_8005f210;FUN_8005f4f8;FUN_8005ffb0;FUN_8006002c;FUN_800600a8;FUN_80062d34;FUN_80065c64;FUN_80066110;FUN_8006927c;FUN_8006a1fc;FUN_8006a42c;FUN_8006a4bc;FUN_8006ae84;FUN_8006af3c;FUN_8006af94;FUN_8006b0b8;FUN_8006b0e0;FUN_8006b144;FUN_8006b440;FUN_8006d32c;FUN_8006d998;FUN_8007381c;FUN_80073b9c;FUN_80073c68;FUN_800766fc;FUN_80094128,,yes
0x80010064,0x80010064,main,SPEC_PSXPC_N/PSXMAIN.C,42,<;<;F;*;D;ND,"10064(<), 10064(<) (F) (*) (D) (ND)",mapped,0x80010064,FUN_80010064,512,FUN_80010fd8;FUN_8001169c;FUN_8005e240;FUN_8005e264;FUN_8005f1c8;FUN_8005f210;FUN_8005f4f8;FUN_8005ffb0;FUN_8006002c;FUN_800600a8;FUN_80062d34;FUN_80065c64;FUN_80066110;FUN_8006927c;FUN_8006a1fc;FUN_8006a42c;FUN_8006a4bc;FUN_8006ae84;FUN_8006af3c;FUN_8006af94;FUN_8006b0b8;FUN_8006b0e0;FUN_8006b144;FUN_8006b440;FUN_8006d32c;FUN_8006d998;FUN_8007381c;FUN_80073b9c;FUN_80073c68;FUN_800766fc;FUN_80094128,,yes
0x80010264,0x80010274,QuickControlPhase,GAME/GAMEFLOW.C,783,<;<;F;*;D;ND,"10274(<), 10264(<) (F) (*) (D) (ND)",mapped,0x80010264,FUN_80010264,76,FUN_8001d6cc;FUN_80065c64,FUN_800105c4;FUN_80010a84,yes
0x800102b0,0x800102e0,LoadGameflow,GAME/GAMEFLOW.C,545,<;<;F,"102E0(<), 102B0(<) (F)",mapped,0x800102b0,FUN_800102b0,712,FUN_8005e578;FUN_8005e5d8;FUN_8005f544;FUN_8005f6ac;FUN_80065f98,FUN_80010fd8,yes
0x800105c4,0x80010604,DoTitle,GAME/GAMEFLOW.C,931,<;<;F;*;D;ND,"10604(<), 105C4(<) (F) (*) (D) (ND)",mapped,0x800105c4,FUN_800105c4,1216,FUN_80010264;FUN_8001d6cc;FUN_80025cb8;FUN_8002c6ec;FUN_80032d9c;FUN_80034f8c;FUN_800379b8;FUN_8003b9dc;FUN_8003bc04;FUN_80041d3c;FUN_8005dbc8;FUN_8005e08c;FUN_8005e14c;FUN_8005e7a0;FUN_8005f5c8;FUN_8005fdd0;FUN_80060d54;FUN_80062730;FUN_80062790;FUN_800645e0;FUN_8008fb90;FUN_80093d40;FUN_80093d80;FUN_800940f0,,yes
0x80010a84,0x80010abc,DoLevel,GAME/GAMEFLOW.C,1209,<;<;F,10ABC(<) 10A84(<) (F),mapped,0x80010a84,FUN_80010a84,1364,FUN_80010264;FUN_8001d6cc;FUN_80020f9c;FUN_80021040;FUN_80025cb8;FUN_8002c6ec;FUN_80035048;FUN_800379b8;FUN_8003b9dc;FUN_8003bc04;FUN_80055fec;FUN_8005dbc8;FUN_8005e08c;FUN_8005e14c;FUN_8005e7a0;FUN_8005f5c8;FUN_8005f6ac;FUN_8005fdd0;FUN_80060d54;FUN_800645e0;FUN_8008fb90;FUN_80093d80;FUN_800940f0,,yes
0x80010fd8,0x80010f5c,DoGameflow,GAME/GAMEFLOW.C,155,<;<,"10F5C(<), 10FD8(<)",mapped,0x80010fd8,FUN_80010fd8,480,FUN_800102b0;FUN_8005e7a0,FUN_80010064,yes
0x8001169c,0x800115ec,InitFont,GAME/TEXT.C,97,<;<;F;D;ND,"115EC(<), 1169C(<) (F) (D) (ND)",mapped,0x8001169c,FUN_8001169c,376,,FUN_80010064,yes
0x80011814,0x80011764,GetLaraCollisionInfo,GAME/LARA.C,6650,<;<;F,"11764(<), 11814(<) (F)",mapped,0x80011814,FUN_80011814,76,FUN_8007d254,FUN_8001286c;FUN_80012fe4;FUN_8001366c;FUN_80015d84;FUN_80015f90;FUN_80016f30;FUN_800172d4;FUN_80017fc8;FUN_80018578;FUN_80018cbc;FUN_80018e40;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001baf8;FUN_8001bc10;FUN_8001bcbc;FUN_8001bda8;FUN_8001be64;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c2e8;FUN_8001c3e4;FUN_8001c4b8;FUN_8001c5d4;FUN_8001c68c;FUN_8001c750;FUN_8001c940;FUN_8001c994,yes
0x80011860,0x800117b0,LaraFloorFront,GAME/LARA.C,6610,F,"117B0, 11860 (F)",mapped,0x80011860,FUN_80011860,236,FUN_8007a998;FUN_8007acb8,FUN_80012fe4;FUN_8001366c;FUN_800137e8;FUN_80013cd4;FUN_80014a78;FUN_80014c74;FUN_80017fc8;FUN_8001a490,yes
0x8001194c,0x8001189c,LaraCeilingFront,GAME/LARA.C,6570,F,"1189C, 1194C (F)",mapped,0x8001194c,FUN_8001194c,252,FUN_8007a998;FUN_8007b0a4,FUN_80012d04;FUN_80012fe4;FUN_80014a78;FUN_80014c74;FUN_80017fc8,yes
0x80011a48,0x80011998,TestLaraSlide,GAME/LARA.C,6517,,"11998, 11A48",mapped,0x80011a48,FUN_80011a48,468,FUN_8007df30,FUN_8001286c;FUN_800145e4;FUN_800148cc;FUN_80014c74;FUN_80015370;FUN_80015530;FUN_80015748;FUN_80015d84;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001baf8;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4;FUN_8001c4b8,yes
0x80011c1c,0x80011b6c,LaraFallen,GAME/LARA.C,6499,F,"11B6C, 11C1C (F)",mapped,0x80011c1c,FUN_80011c1c,108,,FUN_800145e4;FUN_800148cc;FUN_80014c74;FUN_80015370;FUN_80015748;FUN_80015d84;FUN_80015f90;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001be64;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4,yes
0x80011c88,0x80011bd8,LaraLandedBad,GAME/LARA.C,6478,<;<;F,"11BD8(<), 11C88(<) (F)",mapped,0x80011c88,FUN_80011c88,188,FUN_8006101c,FUN_80015f90;FUN_80018670;FUN_80018cbc;FUN_80018e40;FUN_8001bcbc;FUN_8001c2e8;FUN_8001c994,yes
0x80011d44,0x80011c94,LaraHitCeiling,GAME/LARA.C,6452,F,"11C94, 11D44 (F)",mapped,0x80011d44,FUN_80011d44,132,,FUN_8001286c;FUN_80015d84;FUN_80018578;FUN_8001b51c;FUN_8001b780;FUN_8001b9d0;FUN_8001bf6c;FUN_8001c0e4;FUN_8001c3e4;FUN_8001c4b8;FUN_8001c750,yes
