final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x80001054,0x80001054,sub_1054,SPEC_PSXPC_N/TITSEQ.C,738,<;<,1054(<) F98(<)
0x800019d8,0x800019d8,if,SPEC_PC_N/SPECIFIC.CPP,675,,19d8
0x800019d8,0x800019d8,if,SPEC_PSXPC_N/MISC.C,470,,19d8
0x80001a0c,0x80001a0c,if,SPEC_PSXPC_N/LARA4.C,243,,loc_1A0C
0x80002098,0x80002154,sub_2154,SPEC_PSX/TITSEQ.C,806,<;<;F,2154(<) 2098(<) (F)
0x80002098,0x80002154,sub_2154,SPEC_PSXPC_N/TITSEQ.C,812,<;<;F,2154(<) 2098(<) (F)
0x800021a8,0x8000219c,TITSEQ_StoryBoardMenuControl,SPEC_PSX/TITSEQ.C,845,<;<;F,"219C(<), 21A8(<) (F)"
0x800021a8,0x8000219c,TITSEQ_StoryBoardMenuControl,SPEC_PSXPC_N/TITSEQ.C,851,<;<;F,"219C(<), 21A8(<) (F)"
0x800023c4,0x80002398,TITSEQ_ReadStoryboardImage,SPEC_PSX/TITSEQ.C,954,<;<;F,2398(<) 23C4(<) (F)
0x800023c4,0x80002398,TITSEQ_ReadStoryboardImage,SPEC_PSXPC_N/TITSEQ.C,960,<;<;F,2398(<) 23C4(<) (F)
0x80005de0,0x800b96ec,InitialiseObjects,GAME/SETUP.C,893,<;<,"?(<), B96EC(<) sub_5DE0"
0x80010000,0x80010000,VSyncFunc,SPEC_PSX/PSXMAIN.C,23,<;<;F;D;ND,"10000(<), 10000(<) (F) (D) (ND)"
0x80010000,0x80010000,VSyncFunc,SPEC_PSXPC/PSXPCMAIN.C,23,<;<;F;*,"10000(<), 10000(<) (F) (*)"
0x80010000,0x80010000,VSyncFunc,SPEC_PSXPC_N/PSXMAIN.C,26,<;<;F;*;D;ND,"10000(<), 10000(<) (F) (*) (D) (ND)"
0x80010064,0x80010064,main,SPEC_PSX/PSXMAIN.C,39,<;<;F;*;D;ND,"10064(<), 10064(<) (F) (*) (D) (ND)"
0x80010064,0x80010064,main,SPEC_PSXPC/PSXPCMAIN.C,39,<,"10064(<), 10064(!)"
0x80010064,0x80010064,main,SPEC_PSXPC_N/PSXMAIN.C,42,<;<;F;*;D;ND,"10064(<), 10064(<) (F) (*) (D) (ND)"
0x80010264,0x80010274,QuickControlPhase,GAME/GAMEFLOW.C,783,<;<;F;*;D;ND,"10274(<), 10264(<) (F) (*) (D) (ND)"
0x800102b0,0x800102e0,LoadGameflow,GAME/GAMEFLOW.C,545,<;<;F,"102E0(<), 102B0(<) (F)"
0x800105c4,0x80010604,DoTitle,GAME/GAMEFLOW.C,931,<;<;F;*;D;ND,"10604(<), 105C4(<) (F) (*) (D) (ND)"
0x80010a84,0x80010abc,DoLevel,GAME/GAMEFLOW.C,1209,<;<;F,10ABC(<) 10A84(<) (F)
0x80010fd8,0x80010f5c,DoGameflow,GAME/GAMEFLOW.C,155,<;<,"10F5C(<), 10FD8(<)"
0x8001169c,0x800115ec,InitFont,GAME/TEXT.C,97,<;<;F;D;ND,"115EC(<), 1169C(<) (F) (D) (ND)"
0x80011814,0x80011764,GetLaraCollisionInfo,GAME/LARA.C,6650,<;<;F,"11764(<), 11814(<) (F)"
0x80011860,0x800117b0,LaraFloorFront,GAME/LARA.C,6610,F,"117B0, 11860 (F)"
0x8001194c,0x8001189c,LaraCeilingFront,GAME/LARA.C,6570,F,"1189C, 1194C (F)"
0x80011a48,0x80011998,TestLaraSlide,GAME/LARA.C,6517,,"11998, 11A48"
0x80011c1c,0x80011b6c,LaraFallen,GAME/LARA.C,6499,F,"11B6C, 11C1C (F)"
0x80011c88,0x80011bd8,LaraLandedBad,GAME/LARA.C,6478,<;<;F,"11BD8(<), 11C88(<) (F)"
0x80011d44,0x80011c94,LaraHitCeiling,GAME/LARA.C,6452,F,"11C94, 11D44 (F)"
0x80011dc8,0x80011d18,LaraDeflectEdge,GAME/LARA.C,6423,<;<;F,"11D18(<), 11DC8(<) (F)"
0x80011e70,0x80011dc0,LaraDeflectEdgeDuck,GAME/LARA.C,6398,F,"11DC0, 11E70 (F)"
0x80011f10,0x80011e60,LaraTestEdgeCatch,GAME/LARA.C,6351,F,"11E60, 11F10 (F)"
0x80012028,0x80011f78,LaraTestClimbStance,GAME/LARA.C,6314,,"11F78, 12028"
0x80012170,0x800120c0,TestLaraVault,GAME/LARA.C,5974,,"120C0, 12170"
0x80012600,0x80012550,TestWall,GAME/LARA.C,5911,F,"12550, 12600 (F)"
0x800127a0,0x800126f0,LaraCollideStop,GAME/LARA.C,5879,<;<;F,"126F0(<), 127A0(<) (F)"
0x8001286c,0x800127bc,lara_slide_slope,GAME/LARA.C,5828,F,"127BC, 1286C (F)"
0x800129b4,0x80012904,LaraDeflectEdgeJump,GAME/LARA.C,5765,F,"12904, 129B4 (F)"
0x80012bc8,0x80012b18,LaraSlideEdgeJump,GAME/LARA.C,5730,F,"12B18, 12BC8 (F)"
0x80012d04,0x80012c54,LaraTestHangOnClimbWall,GAME/LARA.C,5673,F,"12C54, 12D04 (F)"
0x80012f04,0x80012e54,SnapLaraToEdgeOfBlock,GAME/LARA.C,5630,F,"12E54, 12F04 (F)"
0x80012fe4,0x80012f34,LaraHangTest,GAME/LARA.C,5315,F,"12F34, 12FE4 (F)"
0x8001366c,0x800135bc,IsValidHangPos,GAME/LARA.C,5278,F,"135BC, 1366C (F)"
0x800137e8,0x80013738,LaraHangRightCornerTest,GAME/LARA.C,5272,,"13738, 137E8"
0x80013cd4,0x80013c24,LaraHangLeftCornerTest,GAME/LARA.C,5266,,"13C24, 13CD4"
0x800141b4,0x80014104,TestHangSwingIn,GAME/LARA.C,5233,F,"14104, 141B4 (F)"
0x800142d8,0x80014228,LaraAboveWater,GAME/LARA.C,5187,F,"14228, 142D8 (F)"
0x8001453c,0x8001448c,lara_as_duckl,GAME/LARA.C,5179,<;<;F,"1448C(<), 1453C(<) (F)"
0x80014590,0x800144e0,lara_as_duckr,GAME/LARA.C,5171,<;<;F,"144E0(<), 14590(<) (F)"
0x800145e4,0x80014534,lara_col_ducklr,GAME/LARA.C,5138,F,"14534, 145E4 (F)"
0x80014738,0x80014688,lara_as_duck,GAME/LARA.C,5088,F,"14688, 14738 (F)"
0x800148cc,0x800147c4,lara_col_duck,GAME/LARA.C,4997,F,"147C4, 148CC (F)"
0x80014a78,0x80014970,lara_as_all4s,GAME/LARA.C,4940,F,"14970, 14A78 (F)"
0x80014c74,0x80014b40,lara_col_all4s,GAME/LARA.C,4781,F,"14B40, 14C74 (F)"
0x80015228,0x800150f4,lara_as_crawl,GAME/LARA.C,4736,F,"150F4, 15228 (F)"
0x80015370,0x8001523c,lara_col_crawl,GAME/LARA.C,4692,F,"1523C, 15370 (F)"
0x800154c4,0x80015390,lara_as_all4turnl,GAME/LARA.C,4677,<;<;F,"15390(<), 154C4(<) (F)"
0x80015530,0x800153fc,lara_col_all4turnlr,GAME/LARA.C,4666,F,"153FC, 15530 (F)"
0x800155b8,0x80015484,lara_as_all4turnr,GAME/LARA.C,4651,<;<;F,"15484(<), 155B8(<) (F)"
0x80015624,0x800154f0,lara_as_crawlb,GAME/LARA.C,4610,F,"154F0, 15624 (F)"
0x80015748,0x80015614,lara_col_crawlb,GAME/LARA.C,4564,F,"15614, 15748 (F)"
0x800158a4,0x80015770,lara_col_crawl2hang,GAME/LARA.C,4457,F,"15770, 158A4 (F)"
0x80015b5c,0x80015a28,lara_as_dash,GAME/LARA.C,4394,F,"15A28, 15B5C (F)"
0x80015d84,0x80015c50,lara_col_dash,GAME/LARA.C,4331,F,"15C50, 15D84 (F)"
0x80015f50,0x80015e1c,lara_as_dashdive,GAME/LARA.C,4322,<;<;F,"15E1C(<), 15F50(<) (F)"
0x80015f90,0x80015e5c,lara_col_dashdive,GAME/LARA.C,4270,F,"15E5C, 15F90 (F)"
0x80016138,0x80016004,MonkeySwingFall,GAME/LARA.C,4253,<;<;F,"16004(<), 16138(<) (F)"
0x80016190,0x8001605c,MonkeySwingSnap,GAME/LARA.C,4245,<;<;F,"1605C(<), 16190(<) (F)"
0x800161e8,0x800160b4,GetDirOctant,GAME/LARA.C,4240,<;<;F,"160B4(<), 161E8(<) (F)"
0x80016200,0x800160cc,TestMonkeyLeft,GAME/LARA.C,4208,<;<;F,"160CC(<), 16200(<) (F)"
0x80016320,0x800161ec,TestMonkeyRight,GAME/LARA.C,4177,<;<;F,"161EC(<), 16320(<) (F)"
0x80016440,0x8001630c,lara_as_hang2,GAME/LARA.C,4149,<;<;F,"1630C(<), 16440(<) (F)"
0x80016510,0x800163dc,lara_col_hang2,GAME/LARA.C,4050,F,"163DC, 16510 (F)"
0x80016840,0x8001670c,lara_as_monkeyswing,GAME/LARA.C,4011,F,"1670C, 16840 (F)"
0x8001695c,0x80016828,lara_col_monkeyswing,GAME/LARA.C,3958,F,"16828, 1695C (F)"
0x80016b40,0x80016a0c,lara_as_monkeyl,GAME/LARA.C,3931,<;<;F,"16A0C(<), 16B40(<) (F)"
0x80016bb4,0x80016a80,lara_col_monkeyl,GAME/LARA.C,3909,<;<;F,"16A80(<), 16BB4(<) (F)"
0x80016c58,0x80016b24,lara_as_monkeyr,GAME/LARA.C,3882,<;<;F,"16B24(<), 16C58(<) (F)"
0x80016cd0,0x80016b9c,lara_col_monkeyr,GAME/LARA.C,3860,<;<;F,"16B9C(<), 16CD0(<) (F)"
0x80016d74,0x80016c40,lara_as_hangturnl,GAME/LARA.C,3847,<;<;F,"16C40(<), 16D74(<) (F)"
0x80016dc8,0x80016c94,lara_col_hangturnlr,GAME/LARA.C,3824,<;<;F,"16C94(<), 16DC8(<) (F)"
0x80016e98,0x80016d64,lara_as_hangturnr,GAME/LARA.C,3811,<;<;F,"16D64(<), 16E98(<) (F)"
