original_group,call_ordinal,call_index,call_address,original_size,probable_source_field,save_gap_status,restore_side_status,patch_readiness,next_action
4,1,338,0x80054458,2,active control header,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,2,349,0x80054484,2,item->pos.x_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,3,355,0x8005449c,2,item->pos.y_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,4,361,0x800544b4,2,item->pos.z_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,5,366,0x800544c8,1,item->room_number,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,6,369,0x800544d4,2,item->pos.y_rot,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,7,376,0x800544f0,2,item->pos.x_rot,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,8,383,0x8005450c,2,item->pos.z_rot,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,9,390,0x80054528,2,item->speed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,10,397,0x80054544,2,item->fallspeed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,11,406,0x80054568,1,item->current_anim_state,source-width-mismatch,restore-width-unverifiable,blocked,derive original RestoreLevelData read width before changing source
4,12,411,0x8005457c,1,item->goal_anim_state,source-width-mismatch,restore-width-unverifiable,blocked,derive original RestoreLevelData read width before changing source
4,13,416,0x80054590,1,item->required_anim_state,source-width-mismatch,restore-width-unverifiable,blocked,derive original RestoreLevelData read width before changing source
4,14,423,0x800545ac,2,item->anim_number,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,15,431,0x800545cc,1,item->anim_number - obj->anim_index,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,16,434,0x800545d8,2,item->frame_number,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
4,17,441,0x800545f4,2,item->hit_points,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
5,1,501,0x800546e4,4,packed active/status flags,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
5,2,508,0x80054700,2,item->item_flags[0] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,3,515,0x8005471c,2,item->item_flags[1] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,4,522,0x80054738,2,item->item_flags[2] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,5,529,0x80054754,2,item->item_flags[3] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,6,536,0x80054770,2,item->timer payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,7,543,0x8005478c,2,item->trigger_flags payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
5,8,556,0x800547c0,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,9,570,0x800547f8,24,object-specific payload block,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
